Model,Dataset,Dataset_Type,Fold,AUC,Best_C,Best_n_features,Best_tau,Best_B
PinFSSVM,cleveland,original,7,0.7777777777777777,0.25,,0.5,7.0
PinFSSVM,cleveland,original,8,0.8611111111111112,0.25,,0.5,7.0
PinFSSVM,cleveland,original,9,0.8333333333333333,0.25,,0.5,7.0
PinFSSVM,cleveland,original,10,0.8642533936651584,0.25,,0.5,7.0
PinFSSVM,cleveland,noise,1,0.905982905982906,0.25,,0.1,4.0
PinFSSVM,cleveland,noise,2,0.7689075630252101,0.25,,0.1,4.0
PinFSSVM,cleveland,noise,3,0.717948717948718,0.25,,0.1,4.0
PinFSSVM,cleveland,noise,4,0.7963800904977375,0.25,,0.1,4.0
PinFSSVM,cleveland,noise,5,0.8,0.25,,0.1,4.0
PinFSSVM,cleveland,noise,6,0.868421052631579,0.25,,0.1,4.0
PinFSSVM,cleveland,noise,7,0.7222222222222221,0.25,,0.1,4.0
PinFSSVM,cleveland,noise,8,0.8333333333333333,0.25,,0.1,4.0
PinFSSVM,cleveland,noise,9,0.7777777777777777,0.25,,0.1,4.0
PinFSSVM,cleveland,noise,10,0.8348416289592759,0.25,,0.1,4.0
PinFSSVM,cleveland,both,1,0.7100840336134453,32.0,,0.1,12.0
PinFSSVM,cleveland,both,2,0.8309523809523808,32.0,,0.1,12.0
PinFSSVM,cleveland,both,3,0.6383928571428572,32.0,,0.1,12.0
PinFSSVM,cleveland,both,4,0.75,32.0,,0.1,12.0
PinFSSVM,cleveland,both,5,0.736111111111111,32.0,,0.1,12.0
PinFSSVM,cleveland,both,6,0.638888888888889,32.0,,0.1,12.0
PinFSSVM,cleveland,both,7,0.8492822966507176,32.0,,0.1,12.0
PinFSSVM,cleveland,both,8,0.7777777777777779,32.0,,0.1,12.0
PinFSSVM,cleveland,both,9,0.715909090909091,32.0,,0.1,12.0
PinFSSVM,cleveland,both,10,0.7083333333333334,32.0,,0.1,12.0
PinballSVM,wdbc,outlier,1,0.9321646341463415,1.0,,0.1,
PinballSVM,wdbc,outlier,2,0.9305555555555556,1.0,,0.1,
PinballSVM,wdbc,outlier,3,0.9268292682926829,1.0,,0.1,
PinballSVM,wdbc,outlier,4,0.9534883720930233,1.0,,0.1,
PinballSVM,wdbc,outlier,5,0.9443597560975608,1.0,,0.1,
PinballSVM,wdbc,outlier,6,0.8829365079365079,1.0,,0.1,
PinballSVM,wdbc,outlier,7,0.9428571428571428,1.0,,0.1,
PinballSVM,wdbc,outlier,8,0.984375,1.0,,0.1,
PinballSVM,wdbc,outlier,9,0.8545454545454546,1.0,,0.1,
PinballSVM,wdbc,outlier,10,0.9736842105263158,1.0,,0.1,
PinballSVM,wdbc,original,1,0.9455882352941176,0.5,,1.0,
PinballSVM,wdbc,original,2,1.0,0.5,,1.0,
PinballSVM,wdbc,original,3,0.9864864864864865,0.5,,1.0,
PinballSVM,wdbc,original,4,0.9874999999999999,0.5,,1.0,
PinballSVM,wdbc,original,5,0.9594017094017093,0.5,,1.0,
PinballSVM,wdbc,original,6,0.92875,0.5,,1.0,
PinballSVM,wdbc,original,7,0.9705882352941176,0.5,,1.0,
PinballSVM,wdbc,original,8,1.0,0.5,,1.0,
PinballSVM,wdbc,original,9,0.9296296296296297,0.5,,1.0,
PinballSVM,wdbc,original,10,0.9864864864864865,0.5,,1.0,
PinballSVM,wdbc,noise,1,0.8782051282051283,0.125,,1.0,
PinballSVM,wdbc,noise,2,0.9838709677419355,0.125,,1.0,
PinballSVM,wdbc,noise,3,0.8233766233766234,0.125,,1.0,
PinballSVM,wdbc,noise,4,0.9209401709401709,0.125,,1.0,
PinballSVM,wdbc,noise,5,0.9375,0.125,,1.0,
PinballSVM,wdbc,noise,6,0.8574999999999999,0.125,,1.0,
PinballSVM,wdbc,noise,7,0.881578947368421,0.125,,1.0,
PinballSVM,wdbc,noise,8,0.826302729528536,0.125,,1.0,
PinballSVM,wdbc,noise,9,0.9131773399014779,0.125,,1.0,
PinballSVM,wdbc,noise,10,0.9222222222222222,0.125,,1.0,
PinballSVM,wdbc,both,1,0.8330792682926829,0.5,,1.0,
PinballSVM,wdbc,both,2,0.9054054054054054,0.5,,1.0,
PinballSVM,wdbc,both,3,0.8952991452991452,0.5,,1.0,
PinballSVM,wdbc,both,4,0.7948529411764705,0.5,,1.0,
PinballSVM,wdbc,both,5,0.8536764705882351,0.5,,1.0,
PinballSVM,wdbc,both,6,0.8101023017902814,0.5,,1.0,
PinballSVM,wdbc,both,7,0.8819930069930071,0.5,,1.0,
PinballSVM,wdbc,both,8,0.8262499999999999,0.5,,1.0,
PinballSVM,wdbc,both,9,0.8829923273657289,0.5,,1.0,
PinballSVM,wdbc,both,10,0.9187500000000001,0.5,,1.0,
PinballSVM,sonar,outlier,1,0.7740384615384615,0.125,,0.5,
PinballSVM,sonar,outlier,2,0.61875,0.125,,0.5,
PinballSVM,sonar,outlier,3,0.6590909090909092,0.125,,0.5,
PinballSVM,sonar,outlier,4,0.8461538461538461,0.125,,0.5,
PinballSVM,sonar,outlier,5,0.7727272727272727,0.125,,0.5,
PinballSVM,sonar,outlier,6,0.7142857142857143,0.125,,0.5,
PinballSVM,sonar,outlier,7,0.759090909090909,0.125,,0.5,
PinballSVM,sonar,outlier,8,0.6272727272727273,0.125,,0.5,
PinballSVM,sonar,outlier,9,0.7525252525252525,0.125,,0.5,
PinballSVM,sonar,outlier,10,0.6041666666666667,0.125,,0.5,
PinballSVM,sonar,original,1,0.8365384615384616,0.25,,0.5,
PinballSVM,sonar,original,2,0.6826923076923077,0.25,,0.5,
PinballSVM,sonar,original,3,0.7777777777777778,0.25,,0.5,
PinballSVM,sonar,original,4,0.8545454545454545,0.25,,0.5,
PinballSVM,sonar,original,5,0.7272727272727273,0.25,,0.5,
PinballSVM,sonar,original,6,0.7857142857142858,0.25,,0.5,
PinballSVM,sonar,original,7,0.8136363636363636,0.25,,0.5,
PinballSVM,sonar,original,8,0.7222222222222223,0.25,,0.5,
PinballSVM,sonar,original,9,0.8080808080808081,0.25,,0.5,
PinballSVM,sonar,original,10,0.5625,0.25,,0.5,
PinballSVM,sonar,noise,1,0.7596153846153846,16.0,,0.1,
PinballSVM,sonar,noise,2,0.7211538461538461,16.0,,0.1,
PinballSVM,sonar,noise,3,0.8461538461538461,16.0,,0.1,
PinballSVM,sonar,noise,4,0.8136363636363637,16.0,,0.1,
PinballSVM,sonar,noise,5,0.6666666666666667,16.0,,0.1,
PinballSVM,sonar,noise,6,0.8571428571428572,16.0,,0.1,
PinballSVM,sonar,noise,7,0.7681818181818181,16.0,,0.1,
PinballSVM,sonar,noise,8,0.6057692307692308,16.0,,0.1,
PinballSVM,sonar,noise,9,0.7000000000000001,16.0,,0.1,
PinballSVM,sonar,noise,10,0.5879120879120879,16.0,,0.1,
PinballSVM,sonar,both,1,0.6590909090909092,4.0,,0.1,
PinballSVM,sonar,both,2,0.7857142857142858,4.0,,0.1,
PinballSVM,sonar,both,3,0.6527777777777777,4.0,,0.1,
PinballSVM,sonar,both,4,0.8221153846153846,4.0,,0.1,
PinballSVM,sonar,both,5,0.7727272727272727,4.0,,0.1,
PinballSVM,sonar,both,6,0.6090909090909091,4.0,,0.1,
PinballSVM,sonar,both,7,0.6586538461538461,4.0,,0.1,
PinballSVM,sonar,both,8,0.4818181818181818,4.0,,0.1,
PinballSVM,sonar,both,9,0.7708333333333333,4.0,,0.1,
PinballSVM,sonar,both,10,0.5208333333333334,4.0,,0.1,
PinballSVM,ionosphere,outlier,1,0.7941176470588236,1.0,,0.1,
PinballSVM,ionosphere,outlier,2,0.8690476190476191,1.0,,0.1,
PinballSVM,ionosphere,outlier,3,0.8333333333333334,1.0,,0.1,
PinballSVM,ionosphere,outlier,4,0.6759868421052632,1.0,,0.1,
PinballSVM,ionosphere,outlier,5,0.738095238095238,1.0,,0.1,
PinballSVM,ionosphere,outlier,6,0.76,1.0,,0.1,
PinballSVM,ionosphere,outlier,7,0.8235294117647058,1.0,,0.1,
PinballSVM,ionosphere,outlier,8,0.8823529411764706,1.0,,0.1,
PinballSVM,ionosphere,outlier,9,0.8181818181818181,1.0,,0.1,
PinballSVM,ionosphere,outlier,10,0.8532608695652174,1.0,,0.1,
PinballSVM,ionosphere,original,1,0.8666666666666667,2.0,,0.1,
PinballSVM,ionosphere,original,2,0.8461538461538461,2.0,,0.1,
PinballSVM,ionosphere,original,3,0.9337121212121212,2.0,,0.1,
PinballSVM,ionosphere,original,4,0.75,2.0,,0.1,
PinballSVM,ionosphere,original,5,0.8115942028985508,2.0,,0.1,
PinballSVM,ionosphere,original,6,0.7948717948717949,2.0,,0.1,
PinballSVM,ionosphere,original,7,0.875,2.0,,0.1,
PinballSVM,ionosphere,original,8,0.9642857142857143,2.0,,0.1,
PinballSVM,ionosphere,original,9,0.7727272727272727,2.0,,0.1,
PinballSVM,ionosphere,original,10,0.8882575757575758,2.0,,0.1,
PinballSVM,ionosphere,noise,1,0.78125,0.5,,0.1,
PinballSVM,ionosphere,noise,2,0.7083333333333333,0.5,,0.1,
PinballSVM,ionosphere,noise,3,0.8219696969696969,0.5,,0.1,
PinballSVM,ionosphere,noise,4,0.6547619047619048,0.5,,0.1,
PinballSVM,ionosphere,noise,5,0.7556818181818181,0.5,,0.1,
PinballSVM,ionosphere,noise,6,0.76,0.5,,0.1,
PinballSVM,ionosphere,noise,7,0.875,0.5,,0.1,
PinballSVM,ionosphere,noise,8,0.9642857142857143,0.5,,0.1,
PinballSVM,ionosphere,noise,9,0.8532608695652174,0.5,,0.1,
PinballSVM,ionosphere,noise,10,0.7898550724637682,0.5,,0.1,
PinballSVM,ionosphere,both,1,0.725,0.25,,0.5,
PinballSVM,ionosphere,both,2,0.7465034965034966,0.25,,0.5,
PinballSVM,ionosphere,both,3,0.675,0.25,,0.5,
PinballSVM,ionosphere,both,4,0.5916666666666668,0.25,,0.5,
PinballSVM,ionosphere,both,5,0.6661184210526316,0.25,,0.5,
PinballSVM,ionosphere,both,6,0.69,0.25,,0.5,
PinballSVM,ionosphere,both,7,0.7416666666666667,0.25,,0.5,
PinballSVM,ionosphere,both,8,0.9,0.25,,0.5,
PinballSVM,ionosphere,both,9,0.73,0.25,,0.5,
PinballSVM,ionosphere,both,10,0.7619047619047619,0.25,,0.5,
PinballSVM,diabetes,outlier,1,0.7463768115942031,0.25,,1.0,
PinballSVM,diabetes,outlier,2,0.717948717948718,0.25,,1.0,
PinballSVM,diabetes,outlier,3,0.6495614035087719,0.25,,1.0,
PinballSVM,diabetes,outlier,4,0.7861538461538462,0.25,,1.0,
PinballSVM,diabetes,outlier,5,0.78954802259887,0.25,,1.0,
PinballSVM,diabetes,outlier,6,0.6964539007092198,0.25,,1.0,
PinballSVM,diabetes,outlier,7,0.6950354609929077,0.25,,1.0,
PinballSVM,diabetes,outlier,8,0.7130769230769232,0.25,,1.0,
PinballSVM,diabetes,outlier,9,0.6557239057239057,0.25,,1.0,
PinballSVM,diabetes,outlier,10,0.7376623376623377,0.25,,1.0,
PinballSVM,diabetes,original,1,0.715925925925926,0.125,,1.0,
PinballSVM,diabetes,original,2,0.7780612244897959,0.125,,1.0,
PinballSVM,diabetes,original,3,0.6476923076923078,0.125,,1.0,
PinballSVM,diabetes,original,4,0.7818181818181819,0.125,,1.0,
PinballSVM,diabetes,original,5,0.7678571428571428,0.125,,1.0,
PinballSVM,diabetes,original,6,0.7121212121212122,0.125,,1.0,
PinballSVM,diabetes,original,7,0.8344444444444444,0.125,,1.0,
PinballSVM,diabetes,original,8,0.7521929824561403,0.125,,1.0,
PinballSVM,diabetes,original,9,0.7265232974910394,0.125,,1.0,
PinballSVM,diabetes,original,10,0.742252456538171,0.125,,1.0,
PinballSVM,diabetes,noise,1,0.7865566037735849,0.125,,0.1,
PinballSVM,diabetes,noise,2,0.7397959183673468,0.125,,0.1,
PinballSVM,diabetes,noise,3,0.7028985507246377,0.125,,0.1,
PinballSVM,diabetes,noise,4,0.777122641509434,0.125,,0.1,
PinballSVM,diabetes,noise,5,0.831818181818182,0.125,,0.1,
PinballSVM,diabetes,noise,6,0.7372448979591837,0.125,,0.1,
PinballSVM,diabetes,noise,7,0.7215277777777778,0.125,,0.1,
PinballSVM,diabetes,noise,8,0.6714520098441346,0.125,,0.1,
PinballSVM,diabetes,noise,9,0.6557239057239057,0.125,,0.1,
PinballSVM,diabetes,noise,10,0.7831372549019607,0.125,,0.1,
PinballSVM,diabetes,both,1,0.6380769230769232,0.125,,0.5,
PinballSVM,diabetes,both,2,0.6889140271493213,0.125,,0.5,
PinballSVM,diabetes,both,3,0.5881578947368421,0.125,,0.5,
PinballSVM,diabetes,both,4,0.7861538461538462,0.125,,0.5,
PinballSVM,diabetes,both,5,0.7021929824561404,0.125,,0.5,
PinballSVM,diabetes,both,6,0.6363636363636362,0.125,,0.5,
PinballSVM,diabetes,both,7,0.6791666666666668,0.125,,0.5,
PinballSVM,diabetes,both,8,0.6858974358974359,0.125,,0.5,
PinballSVM,diabetes,both,9,0.6618589743589745,0.125,,0.5,
PinballSVM,diabetes,both,10,0.7323717948717949,0.125,,0.5,
PinballSVM,cleveland,outlier,1,0.7777777777777778,0.125,,0.1,
PinballSVM,cleveland,outlier,2,0.8697478991596639,0.125,,0.1,
PinballSVM,cleveland,outlier,3,0.7434210526315791,0.125,,0.1,
PinballSVM,cleveland,outlier,4,0.8229665071770336,0.125,,0.1,
PinballSVM,cleveland,outlier,5,0.8,0.125,,0.1,
PinballSVM,cleveland,outlier,6,0.85,0.125,,0.1,
PinballSVM,cleveland,outlier,7,0.7361111111111112,0.125,,0.1,
PinballSVM,cleveland,outlier,8,0.8144796380090499,0.125,,0.1,
PinballSVM,cleveland,outlier,9,0.738095238095238,0.125,,0.1,
PinballSVM,cleveland,outlier,10,0.7775119617224882,0.125,,0.1,
PinballSVM,cleveland,original,1,0.8846153846153846,0.125,,0.5,
PinballSVM,cleveland,original,2,0.9054621848739496,0.125,,0.5,
PinballSVM,cleveland,original,3,0.7735042735042735,0.125,,0.5,
PinballSVM,cleveland,original,4,0.8733031674208145,0.125,,0.5,
PinballSVM,cleveland,original,5,0.8,0.125,,0.5,
PinballSVM,cleveland,original,6,0.8947368421052632,0.125,,0.5,
PinballSVM,cleveland,original,7,0.763888888888889,0.125,,0.5,
PinballSVM,cleveland,original,8,0.8611111111111112,0.125,,0.5,
PinballSVM,cleveland,original,9,0.8055555555555555,0.125,,0.5,
PinballSVM,cleveland,original,10,0.8348416289592759,0.125,,0.5,
PinballSVM,cleveland,noise,1,0.8290598290598289,0.5,,0.1,
PinballSVM,cleveland,noise,2,0.8046218487394957,0.5,,0.1,
PinballSVM,cleveland,noise,3,0.6794871794871796,0.5,,0.1,
PinballSVM,cleveland,noise,4,0.8257918552036198,0.5,,0.1,
PinballSVM,cleveland,noise,5,0.7666666666666667,0.5,,0.1,
PinballSVM,cleveland,noise,6,0.868421052631579,0.5,,0.1,
PinballSVM,cleveland,noise,7,0.6666666666666666,0.5,,0.1,
PinballSVM,cleveland,noise,8,0.8055555555555556,0.5,,0.1,
PinballSVM,cleveland,noise,9,0.763888888888889,0.5,,0.1,
PinballSVM,cleveland,noise,10,0.7963800904977375,0.5,,0.1,
PinballSVM,cleveland,both,1,0.745798319327731,0.125,,0.1,
PinballSVM,cleveland,both,2,0.8309523809523808,0.125,,0.1,
PinballSVM,cleveland,both,3,0.6071428571428572,0.125,,0.1,
PinballSVM,cleveland,both,4,0.75,0.125,,0.1,
PinballSVM,cleveland,both,5,0.736111111111111,0.125,,0.1,
PinballSVM,cleveland,both,6,0.6805555555555556,0.125,,0.1,
PinballSVM,cleveland,both,7,0.8492822966507176,0.125,,0.1,
PinballSVM,cleveland,both,8,0.8055555555555555,0.125,,0.1,
PinballSVM,cleveland,both,9,0.6931818181818181,0.125,,0.1,
PinballSVM,cleveland,both,10,0.7083333333333334,0.125,,0.1,
MILP1,wdbc,outlier,1,0.9321646341463415,0.125,,,9.0
MILP1,wdbc,outlier,2,0.9027777777777778,0.125,,,9.0
MILP1,wdbc,outlier,3,0.9390243902439024,0.125,,,9.0
MILP1,wdbc,outlier,4,0.9534883720930233,0.125,,,9.0
MILP1,wdbc,outlier,5,0.9321646341463415,0.125,,,9.0
MILP1,wdbc,outlier,6,0.8551587301587302,0.125,,,9.0
MILP1,wdbc,outlier,7,0.9428571428571428,0.125,,,9.0
MILP1,wdbc,outlier,8,0.984375,0.125,,,9.0
MILP1,wdbc,outlier,9,0.825974025974026,0.125,,,9.0
MILP1,wdbc,outlier,10,0.9736842105263158,0.125,,,9.0
MILP1,wdbc,original,1,0.9705882352941176,0.125,,,11.0
MILP1,wdbc,original,2,0.9838709677419355,0.125,,,11.0
MILP1,wdbc,original,3,0.9864864864864865,0.125,,,11.0
MILP1,wdbc,original,4,0.9874999999999999,0.125,,,11.0
MILP1,wdbc,original,5,0.9444444444444444,0.125,,,11.0
MILP1,wdbc,original,6,0.944375,0.125,,,11.0
MILP1,wdbc,original,7,1.0,0.125,,,11.0
MILP1,wdbc,original,8,1.0,0.125,,,11.0
MILP1,wdbc,original,9,0.9462962962962963,0.125,,,11.0
MILP1,wdbc,original,10,0.9338549075391182,0.125,,,11.0
MILP1,wdbc,noise,1,0.9038461538461539,0.125,,,14.0
MILP1,wdbc,noise,2,0.9454094292803971,0.125,,,14.0
MILP1,wdbc,noise,3,0.851948051948052,0.125,,,14.0
MILP1,wdbc,noise,4,0.8931623931623932,0.125,,,14.0
MILP1,wdbc,noise,5,0.8911764705882352,0.125,,,14.0
MILP1,wdbc,noise,6,0.873125,0.125,,,14.0
MILP1,wdbc,noise,7,0.8157894736842105,0.125,,,14.0
MILP1,wdbc,noise,8,0.8746898263027295,0.125,,,14.0
MILP1,wdbc,noise,9,0.9310344827586207,0.125,,,14.0
MILP1,wdbc,noise,10,0.8861111111111111,0.125,,,14.0
MILP1,wdbc,both,1,0.857469512195122,0.125,,,6.0
MILP1,wdbc,both,2,0.8804054054054054,0.125,,,6.0
MILP1,wdbc,both,3,0.9358974358974359,0.125,,,6.0
MILP1,wdbc,both,4,0.7948529411764705,0.125,,,6.0
MILP1,wdbc,both,5,0.8492647058823529,0.125,,,6.0
MILP1,wdbc,both,6,0.7883631713554987,0.125,,,6.0
MILP1,wdbc,both,7,0.9204545454545455,0.125,,,6.0
MILP1,wdbc,both,8,0.8375,0.125,,,6.0
MILP1,wdbc,both,9,0.7806905370843991,0.125,,,6.0
MILP1,wdbc,both,10,0.9187500000000001,0.125,,,6.0
MILP1,sonar,outlier,1,0.7740384615384615,0.125,,,10.0
MILP1,sonar,outlier,2,0.68125,0.125,,,10.0
MILP1,sonar,outlier,3,0.6090909090909091,0.125,,,10.0
MILP1,sonar,outlier,4,0.7451923076923077,0.125,,,10.0
MILP1,sonar,outlier,5,0.6772727272727272,0.125,,,10.0
MILP1,sonar,outlier,6,0.7857142857142858,0.125,,,10.0
MILP1,sonar,outlier,7,0.6590909090909092,0.125,,,10.0
MILP1,sonar,outlier,8,0.5772727272727273,0.125,,,10.0
MILP1,sonar,outlier,9,0.8535353535353535,0.125,,,10.0
MILP1,sonar,outlier,10,0.6666666666666666,0.125,,,10.0
MILP1,sonar,original,1,0.798076923076923,0.125,,,12.0
MILP1,sonar,original,2,0.7211538461538461,0.125,,,12.0
MILP1,sonar,original,3,0.8333333333333334,0.125,,,12.0
MILP1,sonar,original,4,0.8545454545454545,0.125,,,12.0
MILP1,sonar,original,5,0.6318181818181818,0.125,,,12.0
MILP1,sonar,original,6,0.7857142857142858,0.125,,,12.0
MILP1,sonar,original,7,0.8136363636363636,0.125,,,12.0
MILP1,sonar,original,8,0.7222222222222223,0.125,,,12.0
MILP1,sonar,original,9,0.8080808080808081,0.125,,,12.0
MILP1,sonar,original,10,0.625,0.125,,,12.0
MILP1,sonar,noise,1,0.7596153846153846,0.125,,,23.0
MILP1,sonar,noise,2,0.6586538461538461,0.125,,,23.0
MILP1,sonar,noise,3,0.8461538461538461,0.125,,,23.0
MILP1,sonar,noise,4,0.8136363636363637,0.125,,,23.0
MILP1,sonar,noise,5,0.7083333333333333,0.125,,,23.0
MILP1,sonar,noise,6,0.8571428571428572,0.125,,,23.0
MILP1,sonar,noise,7,0.7681818181818181,0.125,,,23.0
MILP1,sonar,noise,8,0.5432692307692307,0.125,,,23.0
MILP1,sonar,noise,9,0.7000000000000001,0.125,,,23.0
MILP1,sonar,noise,10,0.5879120879120879,0.125,,,23.0
MILP1,sonar,both,1,0.6636363636363637,0.125,,,18.0
MILP1,sonar,both,2,0.7142857142857143,0.125,,,18.0
MILP1,sonar,both,3,0.8333333333333334,0.125,,,18.0
MILP1,sonar,both,4,0.8221153846153846,0.125,,,18.0
MILP1,sonar,both,5,0.7727272727272727,0.125,,,18.0
MILP1,sonar,both,6,0.6136363636363636,0.125,,,18.0
MILP1,sonar,both,7,0.7211538461538461,0.125,,,18.0
MILP1,sonar,both,8,0.4318181818181818,0.125,,,18.0
MILP1,sonar,both,9,0.7083333333333334,0.125,,,18.0
MILP1,sonar,both,10,0.5625,0.125,,,18.0
MILP1,ionosphere,outlier,1,0.8235294117647058,0.125,,,11.0
MILP1,ionosphere,outlier,2,0.8690476190476191,0.125,,,11.0
MILP1,ionosphere,outlier,3,0.8333333333333334,0.125,,,11.0
MILP1,ionosphere,outlier,4,0.712171052631579,0.125,,,11.0
MILP1,ionosphere,outlier,5,0.738095238095238,0.125,,,11.0
MILP1,ionosphere,outlier,6,0.76,0.125,,,11.0
MILP1,ionosphere,outlier,7,0.8529411764705882,0.125,,,11.0
MILP1,ionosphere,outlier,8,0.8823529411764706,0.125,,,11.0
MILP1,ionosphere,outlier,9,0.8636363636363636,0.125,,,11.0
MILP1,ionosphere,outlier,10,0.8532608695652174,0.125,,,11.0
MILP1,ionosphere,original,1,0.8666666666666667,0.125,,,2.0
MILP1,ionosphere,original,2,0.9003496503496504,0.125,,,2.0
MILP1,ionosphere,original,3,0.9545454545454545,0.125,,,2.0
MILP1,ionosphere,original,4,0.75,0.125,,,2.0
MILP1,ionosphere,original,5,0.7898550724637682,0.125,,,2.0
MILP1,ionosphere,original,6,0.7393162393162394,0.125,,,2.0
MILP1,ionosphere,original,7,0.84375,0.125,,,2.0
MILP1,ionosphere,original,8,0.9642857142857143,0.125,,,2.0
MILP1,ionosphere,original,9,0.7272727272727273,0.125,,,2.0
MILP1,ionosphere,original,10,0.9090909090909091,0.125,,,2.0
MILP1,ionosphere,noise,1,0.78125,0.125,,,10.0
MILP1,ionosphere,noise,2,0.7083333333333333,0.125,,,10.0
MILP1,ionosphere,noise,3,0.8219696969696969,0.125,,,10.0
MILP1,ionosphere,noise,4,0.7142857142857143,0.125,,,10.0
MILP1,ionosphere,noise,5,0.7556818181818181,0.125,,,10.0
MILP1,ionosphere,noise,6,0.76,0.125,,,10.0
MILP1,ionosphere,noise,7,0.8799342105263157,0.125,,,10.0
MILP1,ionosphere,noise,8,0.9642857142857143,0.125,,,10.0
MILP1,ionosphere,noise,9,0.7282608695652174,0.125,,,10.0
MILP1,ionosphere,noise,10,0.8115942028985508,0.125,,,10.0
MILP1,ionosphere,both,1,0.775,0.125,,,2.0
MILP1,ionosphere,both,2,0.8006993006993007,0.125,,,2.0
MILP1,ionosphere,both,3,0.7749999999999999,0.125,,,2.0
MILP1,ionosphere,both,4,0.6416666666666666,0.125,,,2.0
MILP1,ionosphere,both,5,0.6398026315789473,0.125,,,2.0
MILP1,ionosphere,both,6,0.6699999999999999,0.125,,,2.0
MILP1,ionosphere,both,7,0.775,0.125,,,2.0
MILP1,ionosphere,both,8,0.9333333333333333,0.125,,,2.0
MILP1,ionosphere,both,9,0.6799999999999999,0.125,,,2.0
MILP1,ionosphere,both,10,0.8214285714285714,0.125,,,2.0
MILP1,diabetes,outlier,1,0.7463768115942031,0.125,,,4.0
MILP1,diabetes,outlier,2,0.7371794871794872,0.125,,,4.0
MILP1,diabetes,outlier,3,0.6495614035087719,0.125,,,4.0
MILP1,diabetes,outlier,4,0.7757692307692308,0.125,,,4.0
MILP1,diabetes,outlier,5,0.8064971751412431,0.125,,,4.0
MILP1,diabetes,outlier,6,0.6631205673758864,0.125,,,4.0
MILP1,diabetes,outlier,7,0.7163120567375886,0.125,,,4.0
MILP1,diabetes,outlier,8,0.6753846153846154,0.125,,,4.0
MILP1,diabetes,outlier,9,0.7011784511784511,0.125,,,4.0
MILP1,diabetes,outlier,10,0.732034632034632,0.125,,,4.0
MILP1,diabetes,original,1,0.7559259259259259,0.125,,,4.0
MILP1,diabetes,original,2,0.770408163265306,0.125,,,4.0
MILP1,diabetes,original,3,0.6676923076923078,0.125,,,4.0
MILP1,diabetes,original,4,0.8090909090909092,0.125,,,4.0
MILP1,diabetes,original,5,0.7321428571428571,0.125,,,4.0
MILP1,diabetes,original,6,0.696969696969697,0.125,,,4.0
MILP1,diabetes,original,7,0.862962962962963,0.125,,,4.0
MILP1,diabetes,original,8,0.725877192982456,0.125,,,4.0
MILP1,diabetes,original,9,0.7154121863799283,0.125,,,4.0
MILP1,diabetes,original,10,0.7811791383219955,0.125,,,4.0
MILP1,diabetes,noise,1,0.795990566037736,0.125,,,5.0
MILP1,diabetes,noise,2,0.75,0.125,,,5.0
MILP1,diabetes,noise,3,0.6811594202898551,0.125,,,5.0
MILP1,diabetes,noise,4,0.777122641509434,0.125,,,5.0
MILP1,diabetes,noise,5,0.8090909090909092,0.125,,,5.0
MILP1,diabetes,noise,6,0.7193877551020409,0.125,,,5.0
MILP1,diabetes,noise,7,0.7215277777777778,0.125,,,5.0
MILP1,diabetes,noise,8,0.6525840853158326,0.125,,,5.0
MILP1,diabetes,noise,9,0.6877104377104377,0.125,,,5.0
MILP1,diabetes,noise,10,0.7635294117647058,0.125,,,5.0
MILP1,diabetes,both,1,0.6084615384615384,0.125,,,5.0
MILP1,diabetes,both,2,0.6889140271493213,0.125,,,5.0
MILP1,diabetes,both,3,0.5881578947368421,0.125,,,5.0
MILP1,diabetes,both,4,0.7861538461538462,0.125,,,5.0
MILP1,diabetes,both,5,0.668421052631579,0.125,,,5.0
MILP1,diabetes,both,6,0.6477272727272727,0.125,,,5.0
MILP1,diabetes,both,7,0.6635416666666667,0.125,,,5.0
MILP1,diabetes,both,8,0.6538461538461539,0.125,,,5.0
MILP1,diabetes,both,9,0.6826923076923078,0.125,,,5.0
MILP1,diabetes,both,10,0.7227564102564101,0.125,,,5.0
MILP1,cleveland,outlier,1,0.7393162393162394,0.125,,,7.0
MILP1,cleveland,outlier,2,0.9054621848739496,0.125,,,7.0
MILP1,cleveland,outlier,3,0.7434210526315791,0.125,,,7.0
MILP1,cleveland,outlier,4,0.8229665071770336,0.125,,,7.0
MILP1,cleveland,outlier,5,0.8,0.125,,,7.0
MILP1,cleveland,outlier,6,0.875,0.125,,,7.0
MILP1,cleveland,outlier,7,0.75,0.125,,,7.0
MILP1,cleveland,outlier,8,0.7760180995475114,0.125,,,7.0
MILP1,cleveland,outlier,9,0.738095238095238,0.125,,,7.0
MILP1,cleveland,outlier,10,0.7775119617224882,0.125,,,7.0
MILP1,cleveland,original,1,0.9230769230769231,0.125,,,7.0
MILP1,cleveland,original,2,0.9054621848739496,0.125,,,7.0
MILP1,cleveland,original,3,0.7457264957264957,0.125,,,7.0
MILP1,cleveland,original,4,0.8642533936651584,0.125,,,7.0
MILP1,cleveland,original,5,0.8,0.125,,,7.0
MILP1,cleveland,original,6,0.8947368421052632,0.125,,,7.0
MILP1,cleveland,original,7,0.763888888888889,0.125,,,7.0
MILP1,cleveland,original,8,0.8611111111111112,0.125,,,7.0
MILP1,cleveland,original,9,0.8194444444444443,0.125,,,7.0
MILP1,cleveland,original,10,0.7963800904977375,0.125,,,7.0
