Model,Dataset,Dataset_Type,Fold,AUC,Best_C,Best_n_features,Best_tau,Best_B
RFESVM,wdbc,both,3,0.9615384615384616,0.125,15.0,,
RFESVM,wdbc,both,4,0.7948529411764705,0.125,15.0,,
RFESVM,wdbc,both,5,0.8367647058823529,0.125,15.0,,
RFESVM,wdbc,both,6,0.7736572890025575,0.125,15.0,,
RFESVM,wdbc,both,7,0.9204545454545455,0.125,15.0,,
RFESVM,wdbc,both,8,0.8175,0.125,15.0,,
RFESVM,wdbc,both,9,0.8318414322250639,0.125,15.0,,
RFESVM,wdbc,both,10,0.9187500000000001,0.125,15.0,,
RFESVM,sonar,outlier,1,0.7740384615384615,0.125,15.0,,
RFESVM,sonar,outlier,2,0.68125,0.125,15.0,,
RFESVM,sonar,outlier,3,0.5590909090909092,0.125,15.0,,
RFESVM,sonar,outlier,4,0.7836538461538461,0.125,15.0,,
RFESVM,sonar,outlier,5,0.7272727272727273,0.125,15.0,,
RFESVM,sonar,outlier,6,0.7142857142857143,0.125,15.0,,
RFESVM,sonar,outlier,7,0.6590909090909092,0.125,15.0,,
RFESVM,sonar,outlier,8,0.6318181818181818,0.125,15.0,,
RFESVM,sonar,outlier,9,0.8434343434343434,0.125,15.0,,
RFESVM,sonar,outlier,10,0.6458333333333333,0.125,15.0,,
RFESVM,sonar,original,1,0.8365384615384616,0.125,15.0,,
RFESVM,sonar,original,2,0.7596153846153846,0.125,15.0,,
RFESVM,sonar,original,3,0.7777777777777778,0.125,15.0,,
RFESVM,sonar,original,4,0.8090909090909091,0.125,15.0,,
RFESVM,sonar,original,5,0.7272727272727273,0.125,15.0,,
RFESVM,sonar,original,6,0.8571428571428572,0.125,15.0,,
RFESVM,sonar,original,7,0.8136363636363636,0.125,15.0,,
RFESVM,sonar,original,8,0.6388888888888888,0.125,15.0,,
RFESVM,sonar,original,9,0.8080808080808081,0.125,15.0,,
RFESVM,sonar,original,10,0.6041666666666667,0.125,15.0,,
RFESVM,sonar,noise,1,0.7211538461538461,2.0,15.0,,
RFESVM,sonar,noise,2,0.6586538461538461,2.0,15.0,,
RFESVM,sonar,noise,3,0.8461538461538461,2.0,15.0,,
RFESVM,sonar,noise,4,0.9045454545454545,2.0,15.0,,
RFESVM,sonar,noise,5,0.6111111111111112,2.0,15.0,,
RFESVM,sonar,noise,6,0.7857142857142858,2.0,15.0,,
RFESVM,sonar,noise,7,0.7681818181818181,2.0,15.0,,
