Dataset,Main_Model,Baseline_Model,Metric,N_Folds_Main,N_Folds_Baseline,Main_Model_Mean_Score,Baseline_Mean_Score,Mean_Difference,Median_Difference,Wilcoxon_Statistic,Wilcoxon_P_Value_2sided,CI_Median_Diff_Low,CI_Median_Diff_High,Note,Holm_Corrected_P_Value,Statistically_Significant_Holm
Ionosphere-Outlier,PinFSSVM,PinballSVM,AUC,10,10,0.8048,0.8048,0.0000,0.0000,,1.0000,0.0000,0.0000,All differences are zero,1.0000,False
Ionosphere-Outlier,PinFSSVM,RFESVM,AUC,10,10,0.8048,0.8107,-0.0059,0.0000,0.0000,0.5000,-0.0147,0.0000,,1.0000,False
Sonar-Both,PinFSSVM,FisherSVM,AUC,10,10,0.7143,0.6880,0.0263,0.0540,13.0000,0.3008,-0.0417,0.0955,,1.0000,False
Sonar-Both,PinFSSVM,L1SVM,AUC,10,10,0.7143,0.6726,0.0417,0.0563,10.0000,0.0801,0.0088,0.0864,,1.0000,False
Sonar-Both,PinFSSVM,L2SVM,AUC,10,10,0.7143,0.6825,0.0318,0.0521,15.5000,0.2461,-0.0240,0.0977,,1.0000,False
Sonar-Both,PinFSSVM,MILP1,AUC,10,10,0.7143,0.6844,0.0299,0.0663,12.0000,0.2383,-0.0108,0.1042,,1.0000,False
Sonar-Both,PinFSSVM,PinballSVM,AUC,10,10,0.7143,0.6734,0.0409,0.0413,4.0000,0.0547,0.0000,0.0955,,1.0000,False
Sonar-Both,PinFSSVM,RFESVM,AUC,10,10,0.7143,0.6743,0.0400,0.0455,15.0000,0.2324,-0.0104,0.1121,,1.0000,False
Sonar-Noise,PinFSSVM,FisherSVM,AUC,10,10,0.7665,0.7310,0.0355,0.0192,9.0000,0.4688,-0.0312,0.1026,,1.0000,False
Sonar-Noise,PinFSSVM,L1SVM,AUC,10,10,0.7665,0.7187,0.0477,0.0729,12.5000,0.1348,-0.0107,0.1010,,1.0000,False
Sonar-Noise,PinFSSVM,L2SVM,AUC,10,10,0.7665,0.7243,0.0422,0.0562,14.0000,0.1934,-0.0130,0.0889,,1.0000,False
Sonar-Noise,PinFSSVM,MILP1,AUC,10,10,0.7665,0.7243,0.0422,0.0562,14.0000,0.1934,-0.0130,0.0889,,1.0000,False
Sonar-Noise,PinFSSVM,PinballSVM,AUC,10,10,0.7665,0.7326,0.0338,0.0420,9.0000,0.2500,-0.0357,0.1154,,1.0000,False
Sonar-Noise,PinFSSVM,RFESVM,AUC,10,10,0.7665,0.7239,0.0425,0.0455,5.0000,0.1406,0.0000,0.0889,,1.0000,False
Sonar-Original,PinFSSVM,FisherSVM,AUC,10,10,0.7802,0.7472,0.0330,0.0432,7.0000,0.0352,0.0000,0.0713,,1.0000,False
Sonar-Original,PinFSSVM,L1SVM,AUC,10,10,0.7802,0.7596,0.0206,0.0069,4.0000,0.1094,-0.0023,0.0556,,1.0000,False
Sonar-Original,PinFSSVM,L2SVM,AUC,10,10,0.7802,0.7566,0.0236,0.0401,11.0000,0.2031,-0.0120,0.0584,,1.0000,False
Sonar-Original,PinFSSVM,MILP1,AUC,10,10,0.7802,0.7594,0.0209,0.0192,11.0000,0.3828,-0.0278,0.0686,,1.0000,False
Sonar-Original,PinFSSVM,PinballSVM,AUC,10,10,0.7802,0.7571,0.0231,0.0069,7.0000,0.2969,-0.0139,0.0713,,1.0000,False
Sonar-Original,PinFSSVM,RFESVM,AUC,10,10,0.7802,0.7632,0.0170,0.0069,5.0000,0.1562,-0.0023,0.0456,,1.0000,False
Sonar-Outlier,PinFSSVM,FisherSVM,AUC,10,10,0.7264,0.6932,0.0332,0.0179,13.0000,0.3008,-0.0215,0.0909,,1.0000,False
Sonar-Outlier,PinFSSVM,L1SVM,AUC,10,10,0.7264,0.7020,0.0244,0.0000,11.0000,0.3828,-0.0215,0.1000,,1.0000,False
Sonar-Outlier,PinFSSVM,L2SVM,AUC,10,10,0.7264,0.6850,0.0413,0.0387,7.0000,0.0703,0.0091,0.0663,,1.0000,False
Sonar-Outlier,PinFSSVM,MILP1,AUC,10,10,0.7264,0.7029,0.0234,0.0283,10.0000,0.1641,-0.0202,0.0500,,1.0000,False
Sonar-Outlier,PinFSSVM,PinballSVM,AUC,10,10,0.7264,0.7128,0.0135,0.0023,19.0000,0.7344,-0.0500,0.0940,,1.0000,False
Sonar-Outlier,PinFSSVM,RFESVM,AUC,10,10,0.7264,0.7020,0.0244,0.0000,11.0000,0.3828,-0.0215,0.1000,,1.0000,False
WDBC-Both,PinFSSVM,FisherSVM,AUC,10,10,0.8678,0.8520,0.0158,0.0171,8.0000,0.0977,0.0056,0.0317,,1.0000,False
WDBC-Both,PinFSSVM,L1SVM,AUC,10,10,0.8678,0.8605,0.0072,0.0044,8.0000,0.3750,-0.0027,0.0294,,1.0000,False
WDBC-Both,PinFSSVM,L2SVM,AUC,10,10,0.8678,0.8562,0.0115,0.0123,8.0000,0.1953,0.0000,0.0304,,1.0000,False
