Model,Dataset,Dataset_Type,Fold,AUC,Best_C,Best_tau,Best_B,Best_n_features
RFESVM,sonar,noise,3,0.8461538461538461,2.0,,,15.0
RFESVM,sonar,noise,4,0.9045454545454545,2.0,,,15.0
RFESVM,sonar,noise,5,0.6111111111111112,2.0,,,15.0
RFESVM,sonar,noise,6,0.7857142857142858,2.0,,,15.0
RFESVM,sonar,noise,7,0.7681818181818181,2.0,,,15.0
RFESVM,sonar,noise,8,0.6057692307692308,2.0,,,15.0
RFESVM,sonar,noise,9,0.75,2.0,,,15.0
RFESVM,sonar,noise,10,0.5879120879120879,2.0,,,15.0
RFESVM,sonar,both,1,0.6136363636363636,32.0,,,15.0
RFESVM,sonar,both,2,0.6785714285714286,32.0,,,15.0
RFESVM,sonar,both,3,0.75,32.0,,,15.0
RFESVM,sonar,both,4,0.7836538461538461,32.0,,,15.0
RFESVM,sonar,both,5,0.7681818181818181,32.0,,,15.0
RFESVM,sonar,both,6,0.6590909090909092,32.0,,,15.0
RFESVM,sonar,both,7,0.7211538461538461,32.0,,,15.0
RFESVM,sonar,both,8,0.4772727272727273,32.0,,,15.0
RFESVM,sonar,both,9,0.7708333333333333,32.0,,,15.0
RFESVM,sonar,both,10,0.5208333333333334,32.0,,,15.0
