Model,Type of dataset,Average Accuracy,Average AUC,Average F1 Score,Average G-Mean,Average train_time,Average num_features,BestFold Features selected,BestFold #Features,C,B,tau,n_features
L1SVM,Not noise,0.8916666666666668,0.863746579507449,0.8884904481008616,0.8563214617341321,0.058565163612365724,11.2,"1, 3, 4, 5, 6, 7, 8, 10, 15, 25",10,0.125,,,
L1SVM,Noise,0.8377777777777778,0.8025974025974026,0.8310302621159182,0.7873894887532271,0.04394674301147461,15.1,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 14, 18, 21, 26, 31",15,8.0,,,
L1SVM,Outlier,0.8319841269841269,0.806904761904762,0.8259237103397856,0.7930697581437651,0.0443112850189209,12.2,"1, 3, 4, 5, 7, 8, 9, 10, 15, 18, 31",11,8.0,,,
L1SVM,Noise + Outlier,0.7604761904761904,0.7335714285714287,0.7490547119155687,0.7090485361132293,0.04469950199127197,13.7,"1, 3, 4, 5, 6, 7, 9, 10, 12, 14, 16, 18, 25, 31, 33",15,2.0,,,
L2SVM,Not noise,0.8915873015873016,0.8601803993108341,0.8878725790276599,0.8514296906482117,0.06193833351135254,34.0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34",34,0.125,,,
L2SVM,Noise,0.8377777777777778,0.8025974025974026,0.8310302621159182,0.7873894887532271,0.06440157890319824,34.0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34",34,1.0,,,
L2SVM,Outlier,0.8319841269841269,0.806904761904762,0.8259237103397856,0.7930697581437651,0.054914331436157225,34.0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34",34,0.5,,,
L2SVM,Noise + Outlier,0.7634126984126984,0.7370238095238095,0.7522093175200888,0.7131523745739794,0.05862140655517578,34.0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34",34,0.125,,,
MILP1,Not noise,0.8774603174603174,0.8450048140265531,0.8738233455343766,0.8364949860889576,0.10705454349517822,2.0,"1, 5",2,0.125,2.0,,
MILP1,Noise,0.8320634920634922,0.7964785214785215,0.8248725980113154,0.7805193654164044,0.06261780261993408,14.8,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 14, 18, 21, 26, 31",15,0.125,15.0,,
MILP1,Outlier,0.834920634920635,0.8086904761904762,0.8283757208974599,0.7936652362514571,0.10992906093597413,2.0,"1, 5",2,0.125,2.0,,
MILP1,Noise + Outlier,0.7804761904761904,0.7536904761904764,0.768944490835767,0.7282900928728865,0.10951759815216064,2.0,"1, 5",2,0.125,2.0,,
PinFSSVM,Not noise,0.8915873015873016,0.8579659470963819,0.8876757514950322,0.8486842618350326,0.1441040515899658,11.0,"1, 3, 4, 5, 6, 7, 8, 9, 10, 21, 25",11,4.0,11.0,0.1,
PinFSSVM,Noise,0.8347619047619048,0.80004995004995,0.8278966703379307,0.784859666557584,0.14432287216186523,13.0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 18, 21, 31",13,2.0,13.0,0.1,
PinFSSVM,Outlier,0.8376984126984126,0.8089285714285713,0.8302971938147392,0.7915742914000379,0.16598548889160156,2.0,"1, 5",2,0.5,2.0,0.1,
PinFSSVM,Noise + Outlier,0.7748412698412699,0.7441666666666666,0.7600023460088112,0.7121248622438561,0.18646743297576904,2.0,"1, 5",2,1.0,2.0,0.1,
PinballSVM,Not noise,0.8915079365079366,0.8598598864903213,0.8877873571889922,0.8509405782485218,0.1268618583679199,34.0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34",34,0.25,,0.1,
PinballSVM,Noise,0.8347619047619048,0.80004995004995,0.8278966703379307,0.784859666557584,0.12192492485046387,34.0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34",34,0.5,,0.1,
PinballSVM,Outlier,0.8291269841269842,0.8022619047619047,0.8224473675407399,0.7868307508729702,0.12224218845367432,34.0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34",34,1.0,,0.1,
PinballSVM,Noise + Outlier,0.7605555555555555,0.7317857142857143,0.7467054338571233,0.7022477351278475,0.11783766746520996,34.0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34",34,0.125,,0.1,
