Model,Type of model,Average Accuracy,Average AUC,Average F1 Score,Average G-Mean,Average train_time,Average num_features,BestFold Features selected,BestFold #Features,C,n_features
RFESVM,Not noise,0.841505376344086,0.8422509233112949,0.8410372625768648,0.8380937931952417,0.3507771730422974,6.0,"2, 3, 9, 11, 12, 13",6,0.5,6
RFESVM,Noise,0.7989247311827956,0.7973922740486208,0.7974812003024041,0.7907140811405238,0.348944878578186,6.0,"2, 3, 7, 10, 12, 13",6,4.0,6
RFESVM,Outlier,0.7888172043010753,0.7941680172252928,0.7892446666649933,0.7872528925883298,0.34762163162231446,6.0,"2, 3, 9, 11, 12, 13",6,0.125,6
RFESVM,Noise + Outlier,0.7448387096774194,0.7517438119585952,0.7470892833547675,0.7478601328999657,0.23369860649108887,9.0,"1, 2, 3, 5, 9, 10, 11, 12, 13",9,0.125,9
