Model,Type of dataset,Average Accuracy,Average AUC,Average F1 Score,Average G-Mean,Average train_time,Average num_features,BestFold Features selected,BestFold #Features,C,B,tau,n_features
L1SVM,Not noise,0.9754385964912281,0.971547619047619,0.9752245140892579,0.9708223852185085,0.06782057285308837,10.2,"2, 8, 14, 22, 24, 25, 27, 28, 29",9,2.0,,,
L1SVM,Noise,0.9016290726817043,0.8921008403361345,0.9008448820568639,0.8900654040963498,0.06998906135559083,13.0,"3, 6, 9, 10, 14, 17, 21, 22, 23, 24, 27, 28",12,2.0,,,
L1SVM,Outlier,0.9156328320802005,0.9279014844804319,0.9172820453210709,0.9269206444825105,0.06513304710388183,8.6,"8, 15, 21, 22, 25, 28, 29",7,0.125,,,
L1SVM,Noise + Outlier,0.8576441102756892,0.8604363472784525,0.8597749461620696,0.8590406630139734,0.06534032821655274,14.6,"2, 4, 5, 6, 7, 8, 18, 21, 22, 23, 26, 28, 29, 30",14,1.0,,,
L2SVM,Not noise,0.9754385964912281,0.9725396825396825,0.9753569524125817,0.9719709054504999,0.11061885356903076,30.0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30",30,0.25,,,
L2SVM,Noise,0.9016290726817043,0.8921008403361345,0.9008448820568639,0.8900654040963498,0.08808090686798095,30.0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30",30,1.0,,,
L2SVM,Outlier,0.9156328320802005,0.927867746288799,0.91727602670023,0.9268386932609273,0.08909657001495361,30.0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30",30,0.125,,,
L2SVM,Noise + Outlier,0.8541666666666666,0.8591205578047683,0.8565258029354382,0.857656255192796,0.08843495845794677,30.0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30",30,0.125,,,
MILP1,Not noise,0.9736842105263157,0.9711507936507937,0.973532006082943,0.97050965882474,0.13033320903778076,9.0,"8, 14, 21, 22, 24, 25, 27, 28, 29",9,0.125,9.0,,
MILP1,Noise,0.9016290726817043,0.8912566844919787,0.9007629687673242,0.8889938252335524,0.3889934539794922,5.0,"14, 22, 24, 27, 28",5,0.125,5.0,,
MILP1,Outlier,0.9138784461152885,0.9237404408457041,0.9153889437549754,0.9226766817857983,0.12384181022644043,8.0,"1, 8, 15, 21, 22, 25, 28, 29",8,0.125,8.0,,
MILP1,Noise + Outlier,0.855889724310777,0.8578047683310841,0.8579920334723619,0.8565459124660393,0.11156730651855469,13.4,"4, 5, 6, 7, 8, 11, 18, 22, 23, 24, 29, 30",12,0.125,14.0,,
PinFSSVM,Not noise,0.9701754385964911,0.9683730158730158,0.9701288174460991,0.9676852784217915,0.18784744739532472,10.4,"2, 8, 11, 15, 21, 25, 27, 29, 30",9,0.125,11.0,0.5,
