Model,Type of model,Accuracy,AUC,train_time,num_features,Features selected,Number of features,C
FisherSVM,Not noise,0.8803174603174602,0.8474298165602514,0.4219705104827881,8.5,"1, 3, 5, 7, 8, 25, 31",7,0.125
FisherSVM,Noise,0.8347619047619048,0.8033458968567665,0.4286029815673828,8.1,"1, 3, 4, 5, 7, 8, 9, 14, 16, 21, 31",11,16.0
FisherSVM,Outlier,0.8348412698412698,0.810627766958666,0.42718169689178465,9.7,"1, 3, 5, 7, 14, 16, 18, 31",8,16.0
FisherSVM,Noise + Outlier,0.7777777777777777,0.7551385631911947,0.43022000789642334,9.9,"1, 3, 5, 7, 33",5,1.0
