Model,Type of model,Accuracy,AUC,train_time,num_features,Features selected,Number of features,C,n_features
FisherSVM,Not noise,0.888888888888889,0.8589016780321128,0.03705883026123047,10.4,"1, 3, 4, 5, 6, 7, 8, 10, 15, 21, 25, 31",12,0.25,22
FisherSVM,Noise,0.8321428571428571,0.7988518492377188,0.03803925514221192,11.9,"1, 2, 3, 4, 5, 7, 8, 9, 14, 18, 21, 31",12,32.0,22
FisherSVM,Outlier,0.8461904761904762,0.8203105300160421,0.032541441917419436,8.7,"1, 3, 5, 7, 8, 15, 16, 18, 31, 33",10,2.0,20
FisherSVM,Noise + Outlier,0.7749206349206348,0.754385401878823,0.03080003261566162,9.2,"1, 3, 5, 7, 12, 14, 15, 16, 18, 33",10,2.0,17
RFESVM,Not noise,0.8860317460317461,0.8588922671531367,0.9448437213897705,7.0,"1, 3, 5, 7, 8, 10, 25",7,0.25,7
RFESVM,Noise,0.832063492063492,0.7982268492377188,0.7795880317687989,13.8,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 18, 21, 26, 31",14,1.0,14
RFESVM,Outlier,0.8404761904761905,0.8157118005721115,0.913645076751709,9.0,"1, 3, 4, 5, 7, 8, 10, 15, 18",9,8.0,9
RFESVM,Noise + Outlier,0.7778571428571428,0.7511930503706818,1.0582676172256469,2.0,"1, 5",2,0.5,2
