Model,Type of model,Average Accuracy,Average AUC,Average F1 Score,Average G-Mean,Average train_time,Average num_features,BestFold Features selected,BestFold #Features,C,n_features
RFESVM,Not noise,0.7370129870129871,0.7494697601380842,0.7429173974830443,0.7472849675841368,0.416409969329834,4.0,"1, 2, 6, 7",4,0.125,4
RFESVM,Noise,0.7247265892002734,0.7402933543255967,0.733005355486072,0.7384432978350075,0.4656938314437866,4.0,"1, 2, 6, 8",4,1.0,4
RFESVM,Outlier,0.7026315789473685,0.7191397094418689,0.7132486532594827,0.7170979006508105,0.41774394512176516,4.0,"1, 2, 6, 8",4,0.25,4
RFESVM,Noise + Outlier,0.659688995215311,0.6731297170321937,0.6701574907592261,0.6702772294829827,0.25348973274230957,5.9,"1, 2, 5, 6, 7, 8",6,0.125,6
