Model,Type of model,Average Accuracy,Average AUC,Average F1 Score,Average G-Mean,Average train_time,Average num_features,BestFold Features selected,BestFold #Features,C,n_features
RFESVM,Not noise,0.841505376344086,0.8416206712104545,0.8409760754633974,0.8373948118935834,0.28039796352386476,6.0,"2, 3, 9, 11, 12, 13",6,1.0,6
RFESVM,Noise,0.7989247311827956,0.7973922740486208,0.7974812003024041,0.7907140811405238,0.311901330947876,6.0,"2, 3, 7, 10, 12, 13",6,8.0,6
RFESVM,Outlier,0.7888172043010753,0.7941680172252928,0.7892446666649933,0.7872528925883298,0.30155215263366697,6.0,"2, 3, 9, 11, 12, 13",6,0.25,6
RFESVM,Noise + Outlier,0.7381720430107527,0.7413271452919286,0.7405018070513133,0.7380070667368247,0.20590696334838868,9.0,"1, 2, 3, 5, 9, 10, 11, 12, 13",9,4.0,9
