Model,Type of model,Accuracy,AUC,train_time,num_features,Features selected,Number of features,C,n_features
RFESVM,Not noise,0.7344155844155844,0.7468068528699137,0.39314820766448977,4.0,"1, 2, 6, 7",4,0.5,4
RFESVM,Noise,0.7247265892002734,0.7402933543255967,0.399337911605835,4.0,"1, 2, 6, 8",4,1.0,4
RFESVM,Outlier,0.7039302802460699,0.7219174872196465,0.3977367639541626,4.0,"1, 2, 6, 8",4,1.0,4
RFESVM,Noise + Outlier,0.6701469583048529,0.6793160004125561,0.4709396123886108,3.0,"2, 6, 8",3,0.25,3
