Model,Type of model,Accuracy,AUC,train_time,num_features,Features selected,Number of features,C,n_features
RFESVM,Not noise,0.975344611528822,0.9729360782246843,0.06179995536804199,10.1,"8, 11, 14, 22, 24, 25, 27, 28, 29",9,2.0,30
RFESVM,Noise,0.8963345864661655,0.8866292392681903,0.06623363494873047,13.6,"3, 6, 7, 9, 14, 15, 17, 20, 21, 22, 23, 24, 25, 27, 28, 29, 30",17,16.0,30
RFESVM,Outlier,0.9174812030075186,0.9266378557877143,0.07180049419403076,9.9,"2, 8, 15, 21, 22, 25, 27, 28, 29",9,0.25,30
RFESVM,Noise + Outlier,0.8559837092731831,0.8605429414831198,0.072029447555542,13.1,"2, 4, 5, 6, 7, 11, 21, 22, 23, 24, 26, 28, 29, 30",14,0.125,30
