Model,Type of model,Accuracy,AUC,train_time,num_features,Features selected,Number of features,C,n_features
FisherSVM,Not noise,0.8803174603174604,0.8517140739695087,0.41595637798309326,9.4,"1, 3, 5, 7, 8, 29, 31",7,0.5,
FisherSVM,Noise,0.8347619047619046,0.8017685159043854,0.4284341335296631,10.5,"1, 3, 4, 5, 7, 8, 9, 14, 16, 21, 31",11,16.0,
FisherSVM,Outlier,0.8433333333333334,0.8198434532331758,0.42956697940826416,9.0,"1, 3, 5, 7, 14, 16, 18, 31",8,2.0,
FisherSVM,Noise + Outlier,0.7665079365079365,0.7451997958182168,0.424248194694519,9.8,"1, 3, 5, 7, 12, 14, 15, 16, 18, 33",10,4.0,
RFESVM,Not noise,0.8803174603174604,0.8495495718050066,0.042460846900939944,11.9,"1, 3, 4, 5, 6, 7, 8, 10, 15, 18, 21, 25, 31",13,0.25,34.0
RFESVM,Noise,0.832063492063492,0.7982268492377188,0.04409999847412109,14.9,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 14, 18, 21, 23, 26, 31",16,1.0,34.0
RFESVM,Outlier,0.8348412698412699,0.810080074197351,0.04606099128723144,12.6,"1, 3, 4, 5, 7, 8, 9, 10, 15, 16, 18, 31",12,0.5,34.0
RFESVM,Noise + Outlier,0.7522222222222222,0.7291089677865993,0.04740002155303955,13.2,"1, 3, 4, 5, 7, 8, 9, 11, 14, 15, 16, 18, 25, 33",14,2.0,34.0
