Model,Type of model,Accuracy,AUC,train_time,num_features,Features selected,Number of features,C,B,tau,n_features
L1SVM,Not noise,0.759047619047619,0.7596496558996558,0.040801620483398436,15.5,"1, 4, 5, 11, 12, 21, 22, 23, 27, 28, 29, 44, 45, 47, 48, 49, 51, 52, 54",19,0.125,,,
L1SVM,Noise,0.7059523809523809,0.7187391774891775,0.04269983768463135,19.9,"1, 3, 4, 5, 9, 10, 11, 12, 20, 21, 22, 23, 28, 29, 41, 43, 44, 46, 48, 49, 51, 53",22,1.0,,,
L1SVM,Outlier,0.7023809523809523,0.7019768426018426,0.03864333629608154,13.1,"1, 5, 9, 12, 21, 28, 29, 47, 49, 52, 54, 59",12,0.125,,,
L1SVM,Noise + Outlier,0.6633333333333333,0.6726128038628039,0.04257335662841797,17.1,"1, 5, 12, 19, 21, 22, 23, 28, 30, 34, 39, 43, 44, 49, 51, 52, 59",17,1.0,,,
L2SVM,Not noise,0.7447619047619047,0.7566212953712954,0.0466064453125,60.0,"1, 4, 11, 12, 20, 21, 22, 23, 26, 27, 29, 33, 39, 44, 48, 49, 51, 52, 58, 59",20,4.0,,,
L2SVM,Noise,0.7107142857142856,0.7242898767898768,0.04979989528656006,60.0,"1, 4, 9, 12, 19, 20, 21, 22, 23, 26, 27, 28, 29, 33, 39, 43, 44, 46, 49, 51, 52, 53, 60",23,16.0,,,
L2SVM,Outlier,0.6783333333333335,0.6850336469086469,0.046669292449951175,60.0,"1, 4, 5, 12, 19, 21, 23, 24, 27, 28, 29, 30, 39, 44, 47, 49, 51, 52, 53, 59",20,4.0,,,
L2SVM,Noise + Outlier,0.6728571428571428,0.6825154012654012,0.04363317489624023,60.0,"1, 4, 5, 9, 12, 19, 21, 22, 23, 28, 30, 34, 39, 44, 48, 49, 51, 52, 53, 54, 58, 59, 60",23,1.0,,,
MILP1,Not noise,0.7495238095238095,0.7593581418581419,0.21038377285003662,12.0,"1, 4, 11, 12, 21, 23, 27, 29, 44, 49, 52, 59",12,0.125,12.0,,
MILP1,Noise,0.7107142857142856,0.7242898767898768,0.06224343776702881,21.6,"1, 4, 9, 11, 12, 19, 20, 21, 23, 26, 27, 28, 29, 33, 39, 43, 44, 46, 49, 51, 52, 53, 60",23,0.125,23.0,,
