Model,Type of dataset,Average Accuracy,Average AUC,Average F1 Score,Average G-Mean,Average train_time,Average num_features,BestFold Features selected,BestFold #Features,C,B,tau,n_features
L1SVM,Not noise,0.7328605604921394,0.7456609686609686,0.737750832485546,0.741306012381815,0.06534411907196044,4.9,"1, 2, 6, 7",4,0.125,,,
L1SVM,Noise,0.7171565276828435,0.7324268476621417,0.7244385392894734,0.7281312879894383,0.05309128761291504,5.3,"1, 2, 5, 6, 7, 8",6,4.0,,,
L1SVM,Outlier,0.6934723171565278,0.7077854378326076,0.7035341051985263,0.7052993672469987,0.05447995662689209,5.1,"1, 2, 6, 7, 8",5,0.25,,,
L1SVM,Noise + Outlier,0.6611073137388928,0.6737918552036198,0.670048661500309,0.6699111579157122,0.053267598152160645,5.8,"1, 2, 5, 6, 7, 8",6,0.25,,,
L2SVM,Not noise,0.7315618591934381,0.7446609686609686,0.7365266152174691,0.7403600734701064,0.060856413841247556,8.0,"1, 2, 3, 4, 5, 6, 7, 8",8,1.0,,,
L2SVM,Noise,0.7171736158578264,0.733446455505279,0.72453101889536,0.7291181243653073,0.06967272758483886,8.0,"1, 2, 3, 4, 5, 6, 7, 8",8,0.25,,,
L2SVM,Outlier,0.6895762132604237,0.7060589017900338,0.6998608014255475,0.7032570509676587,0.057157707214355466,8.0,"1, 2, 3, 4, 5, 6, 7, 8",8,2.0,,,
L2SVM,Noise + Outlier,0.6624401913875598,0.6747722473604827,0.671264400782652,0.6706066456185021,0.06606864929199219,8.0,"1, 2, 3, 4, 5, 6, 7, 8",8,0.5,,,
MILP1,Not noise,0.7381237183868763,0.7498034188034188,0.7428393930030056,0.7458823514739603,0.12699244022369385,4.0,"1, 2, 6, 7",4,0.125,4.0,,
MILP1,Noise,0.7171565276828435,0.7324268476621417,0.7244385392894734,0.7281312879894383,0.09688847064971924,5.0,"1, 2, 6, 7, 8",5,0.125,5.0,,
MILP1,Outlier,0.6960526315789474,0.7075408805031447,0.7055734497442798,0.705062762200731,0.10146212577819824,4.0,"1, 2, 6, 7",4,0.125,4.0,,
MILP1,Noise + Outlier,0.6611244019138757,0.6727722473604827,0.6700156277489636,0.6688982044142927,0.06419556140899658,5.9,"1, 2, 5, 6, 7, 8",6,0.125,6.0,,
PinFSSVM,Not noise,0.7433526999316473,0.7564301994301994,0.7480345335782264,0.7523647894258493,0.14595203399658202,4.0,"1, 2, 6, 7",4,0.125,4.0,0.1,
PinFSSVM,Noise,0.7262474367737527,0.7432345399698341,0.7332541406542397,0.7385377859084544,0.11721591949462891,5.6,"1, 2, 6, 7, 8",5,0.125,6.0,0.5,
PinFSSVM,Outlier,0.7052631578947368,0.7220301161103049,0.7150211792094698,0.7195006130563191,0.11760671138763427,5.0,"1, 2, 6, 7, 8",5,0.5,5.0,1.0,
PinFSSVM,Noise + Outlier,0.672863978127136,0.6855987933634993,0.6811854025741247,0.6809737793371726,0.11613459587097168,5.8,"1, 2, 5, 6, 7, 8",6,4.0,6.0,1.0,
PinballSVM,Not noise,0.731578947368421,0.7482108262108262,0.736369379850667,0.7425916474558639,0.10003185272216797,8.0,"1, 2, 3, 4, 5, 6, 7, 8",8,0.125,,1.0,
PinballSVM,Noise,0.7236500341763501,0.7402730015082957,0.730865985628497,0.736027325371811,0.10760645866394043,8.0,"1, 2, 3, 4, 5, 6, 7, 8",8,1.0,,0.5,
PinballSVM,Outlier,0.7026315789473685,0.7201433236574746,0.712521689721354,0.7174770061374024,0.10215160846710206,8.0,"1, 2, 3, 4, 5, 6, 7, 8",8,0.25,,0.5,
PinballSVM,Noise + Outlier,0.672863978127136,0.6855987933634993,0.6811854025741247,0.6809737793371726,0.10304820537567139,8.0,"1, 2, 3, 4, 5, 6, 7, 8",8,2.0,,1.0,
FisherSVM,Not noise,0.7355092276144908,0.7485128205128204,0.7404225390651964,0.744361011788479,0.5801580667495727,4.4,"1, 2, 6, 7",4,0.25,,,
FisherSVM,Noise,0.7158578263841422,0.7304849170437405,0.7230899369569768,0.7261944763921517,0.5864319324493408,5.1,"1, 2, 5, 6, 7, 8",6,1.0,,,
FisherSVM,Outlier,0.6947539302802461,0.709868771165941,0.7049656136004503,0.707792092861868,0.5833306789398194,4.4,"2, 6",2,0.25,,,
FisherSVM,Noise + Outlier,0.653298017771702,0.6660037707390648,0.662555207152438,0.6622718586076368,0.5767442226409912,4.6,"1, 2, 6, 8",4,8.0,,,
RFESVM,Not noise,0.7433185235816815,0.7555071225071225,0.7479608862257423,0.7516097758121594,0.24073197841644287,4.0,"1, 2, 6, 7",4,0.5,,,4.0
RFESVM,Noise,0.7171565276828435,0.7324268476621417,0.7244385392894734,0.7281312879894383,0.15005388259887695,5.3,"1, 2, 5, 6, 7, 8",6,4.0,,,6.0
RFESVM,Outlier,0.6934723171565278,0.7077854378326076,0.7035341051985263,0.7052993672469987,0.15218899250030518,5.1,"1, 2, 6, 7, 8",5,0.25,,,6.0
RFESVM,Noise + Outlier,0.6611073137388928,0.6737918552036198,0.670048661500309,0.6699111579157122,0.1505361795425415,5.8,"1, 2, 5, 6, 7, 8",6,0.25,,,6.0
