Model,Type of model,Average Accuracy,Average AUC,Average F1 Score,Average G-Mean,Average train_time,Average num_features,BestFold Features selected,BestFold #Features,C,n_features
RFESVM,Not noise,0.7344155844155844,0.7468068528699137,0.7404483851196859,0.7446613080400866,0.4568228483200073,4.0,"1, 2, 6, 7",4,0.5,4
RFESVM,Noise,0.7247265892002734,0.7402933543255967,0.733005355486072,0.7384432978350075,0.4208554983139038,4.0,"1, 2, 6, 8",4,1.0,4
RFESVM,Outlier,0.7039302802460699,0.7219174872196465,0.7145290447107959,0.7197413885376412,0.4163521289825439,4.0,"1, 2, 6, 8",4,1.0,4
RFESVM,Noise + Outlier,0.6609876965140123,0.6733226151428552,0.6713129699932066,0.6705989704546614,0.25656871795654296,5.8,"1, 2, 5, 6, 7, 8",6,0.125,6
