Model,Type of model,Accuracy,AUC,train_time,num_features,Features selected,Number of features,C,n_features
FisherSVM,Not noise,0.7291866028708134,0.7417951459971833,0.07530159950256347,4.9,"1, 2, 6, 7, 8",5,8.0,5
FisherSVM,Noise,0.718215994531784,0.7367536966862881,0.08307802677154541,5.2,"1, 2, 5, 6, 7, 8",6,0.5,6
FisherSVM,Outlier,0.697470950102529,0.7118643352808915,0.07432429790496826,3.0,"2, 6, 8",3,1.0,3
FisherSVM,Noise + Outlier,0.6753417634996582,0.6827689509707698,0.07174408435821533,3.0,"2, 6, 8",3,0.25,3
RFESVM,Not noise,0.7344155844155844,0.7468068528699137,0.48181092739105225,4.0,"1, 2, 6, 7",4,0.5,4
RFESVM,Noise,0.7247265892002734,0.7402933543255967,0.3905609130859375,4.0,"1, 2, 6, 8",4,1.0,4
RFESVM,Outlier,0.7039302802460699,0.7219174872196465,0.4086961269378662,4.0,"1, 2, 6, 8",4,1.0,4
RFESVM,Noise + Outlier,0.6701469583048529,0.6793160004125561,0.46136324405670165,3.0,"2, 6, 8",3,0.25,3
