Model,Type of dataset,Average Accuracy,Average AUC,Average F1 Score,Average G-Mean,Average train_time,Average num_features,BestFold Features selected,BestFold #Features,C,B,tau,n_features
L1SVM,Not noise,0.8312903225806453,0.8295733678086619,0.830949860427127,0.82825272049756,0.02411324977874756,9.0,"2, 3, 4, 7, 9, 10, 11, 12, 13",9,0.25,,,
L1SVM,Noise,0.7856989247311827,0.7820034744667097,0.7846869924918555,0.7792294114618066,0.02722170352935791,10.5,"1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 13",11,2.0,,,
L1SVM,Outlier,0.7821505376344084,0.7818815987933634,0.7816763665691668,0.7770621494002421,0.024517822265625,7.8,"2, 3, 9, 10, 11, 12, 13",7,0.125,,,
L1SVM,Noise + Outlier,0.7319354838709679,0.7359854198089492,0.7304671030600935,0.727281081112099,0.02491626739501953,10.9,"1, 2, 3, 4, 5, 7, 9, 10, 11, 12, 13",11,4.0,,,
L2SVM,Not noise,0.8246236559139787,0.8234142695539755,0.8241948235031618,0.8218021243295425,0.046644163131713864,13.0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",13,0.125,,,
L2SVM,Noise,0.7889247311827956,0.7844982223658695,0.7875734455566767,0.7807407330194005,0.044510293006896975,13.0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",13,0.125,,,
L2SVM,Outlier,0.772258064516129,0.7735482654600301,0.7716612025641122,0.7677568279492339,0.0435338020324707,13.0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",13,0.125,,,
L2SVM,Noise + Outlier,0.7252688172043011,0.7293614881850174,0.7238528946635109,0.720406850639242,0.04194986820220947,13.0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",13,0.25,,,
MILP1,Not noise,0.840967741935484,0.837950468648998,0.840339915394185,0.8359841276758605,0.07737371921539307,6.0,"2, 3, 9, 10, 12, 13",6,0.125,6.0,,
MILP1,Noise,0.7958064516129032,0.7920996283128636,0.7946097850175509,0.7882270352800985,0.07453463077545167,6.0,"3, 7, 9, 10, 12, 13",6,0.125,6.0,,
MILP1,Outlier,0.7790322580645161,0.7794243338360985,0.7790549030236201,0.7756715658105995,0.07110888957977295,6.0,"2, 3, 9, 11, 12, 13",6,0.125,6.0,,
MILP1,Noise + Outlier,0.7318279569892473,0.7333710407239818,0.7301042482936791,0.7245147179569322,0.07614550590515137,9.0,"1, 2, 3, 5, 9, 10, 11, 12, 13",9,0.125,9.0,,
PinFSSVM,Not noise,0.8412903225806453,0.8402068519715579,0.8410472640767741,0.8391085992751478,0.0747257947921753,8.5,"2, 3, 7, 9, 10, 11, 12, 13",8,0.125,9.0,0.1,
PinFSSVM,Noise,0.7951612903225806,0.7929904654169361,0.7945918550338276,0.7911297297892325,0.11461031436920166,7.0,"2, 3, 7, 10, 11, 12, 13",7,0.125,7.0,1.0,
PinFSSVM,Outlier,0.7854838709677419,0.7860482654600301,0.7855805325785961,0.7824956015911433,0.11638419628143311,6.0,"2, 3, 9, 11, 12, 13",6,0.25,6.0,0.1,
PinFSSVM,Noise + Outlier,0.7187096774193549,0.7184137757667168,0.7165054208547396,0.7085488888326985,0.06461958885192871,10.8,"1, 2, 3, 4, 5, 7, 9, 10, 11, 12, 13",11,32.0,11.0,0.1,
PinballSVM,Not noise,0.8378494623655914,0.8361768745959923,0.8373445146994843,0.8344953008565904,0.06993656158447266,13.0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",13,1.0,,0.1,
PinballSVM,Noise,0.7851612903225806,0.7828943115707823,0.7844022994356481,0.7806021245911761,0.07696239948272705,13.0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",13,0.5,,1.0,
PinballSVM,Outlier,0.7754838709677419,0.7763260432378079,0.7751977279964107,0.7714529322429604,0.07711937427520751,13.0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",13,0.125,,0.1,
PinballSVM,Noise + Outlier,0.7319354838709677,0.7312342885872297,0.7301002991905604,0.7223430633686803,0.07336065769195557,13.0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",13,0.125,,0.1,
FisherSVM,Not noise,0.8345161290322581,0.8320681157078216,0.8340893507449637,0.8307592800205477,0.28684172630310056,7.6,"2, 3, 7, 9, 10, 11, 12, 13",8,0.5,,,
FisherSVM,Noise,0.7951612903225806,0.7926521089204913,0.7952745366470857,0.7036933486242242,0.2834143877029419,6.2,"3, 10, 12, 13",4,2.0,,,
FisherSVM,Outlier,0.7755913978494624,0.7763260432378079,0.7749398411368683,0.7706853651849033,0.2867960691452026,6.8,"2, 3, 9, 10, 11, 12, 13",7,0.125,,,
FisherSVM,Noise + Outlier,0.7351612903225806,0.7347599296128707,0.7345598431125168,0.7288530626083057,0.28681325912475586,7.8,"1, 2, 3, 9, 10, 11, 13",7,32.0,,,
RFESVM,Not noise,0.840967741935484,0.8417966224951519,0.8417963256505951,0.7474865021865147,0.18373072147369385,6.0,"2, 3, 9, 10, 12, 13",6,2.0,,,6.0
RFESVM,Noise,0.7958064516129032,0.792729880413704,0.7947615196726956,0.7893163024228254,0.18224844932556153,6.0,"3, 7, 10, 11, 12, 13",6,0.5,,,6.0
RFESVM,Outlier,0.7821505376344084,0.7818815987933634,0.7816763665691668,0.7770621494002421,0.11697151660919189,7.7,"2, 3, 9, 10, 11, 12, 13",7,0.125,,,9.0
RFESVM,Noise + Outlier,0.7318279569892473,0.7333710407239818,0.7301042482936791,0.7245147179569322,0.12446131706237792,9.0,"1, 2, 3, 5, 9, 10, 11, 12, 13",9,2.0,,,9.0
