Model,Type of model,Accuracy,AUC,train_time,num_features,Features selected,Number of features,C,n_features
FisherSVM,Not noise,0.7343643198906358,0.7437900376274134,0.5804568529129028,4.5,"1, 2, 6, 7, 8",5,0.25,
FisherSVM,Noise,0.7142857142857143,0.7316928889366338,0.5784943103790283,4.3,"1, 2, 6, 8",4,0.25,
FisherSVM,Outlier,0.6895933014354066,0.7054772653692342,0.5893950462341309,4.4,"1, 2, 5, 6, 7, 8",6,0.5,
FisherSVM,Noise + Outlier,0.6584073820915927,0.6666627920368245,0.5810816764831543,4.8,"1, 2, 5, 6, 7, 8",6,0.5,
RFESVM,Not noise,0.7291866028708134,0.7417951459971833,0.05246670246124267,4.9,"1, 2, 6, 7, 8",5,8.0,8.0
RFESVM,Noise,0.718215994531784,0.7367536966862881,0.04930005073547363,5.2,"1, 2, 5, 6, 7, 8",6,0.5,8.0
RFESVM,Outlier,0.690892002734108,0.7087438956709435,0.05296516418457031,5.1,"1, 2, 5, 6, 7, 8",6,0.25,8.0
RFESVM,Noise + Outlier,0.6609876965140123,0.6733226151428552,0.0532001256942749,5.8,"1, 2, 5, 6, 7, 8",6,0.125,8.0
