Model,Type of model,Accuracy,AUC,train_time,num_features,Features selected,Number of features,C,n_features
FisherSVM,Not noise,0.841505376344086,0.8406760112952064,0.27603516578674314,7.3,"3, 9, 10, 11, 12, 13",6,32.0,
FisherSVM,Noise,0.8088172043010753,0.8072950948260547,0.2776139736175537,5.8,"3, 9, 10, 11, 12, 13",6,1.0,
FisherSVM,Outlier,0.7887096774193548,0.7945370925943681,0.28575069904327394,6.3,"3, 9, 10, 11, 12, 13",6,0.125,
FisherSVM,Noise + Outlier,0.7448387096774194,0.7512503909059636,0.2775261402130127,6.8,"1, 2, 3, 7, 9, 10, 11, 12, 13",9,32.0,
RFESVM,Not noise,0.8382795698924731,0.8384764135073732,0.023699951171875,8.5,"2, 3, 7, 9, 10, 11, 12, 13",8,0.125,13.0
RFESVM,Noise,0.7855913978494623,0.7848206300063885,0.02669968605041504,10.8,"1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 13",11,1.0,13.0
RFESVM,Outlier,0.785483870967742,0.791390239447515,0.024399662017822267,9.6,"1, 2, 3, 5, 7, 9, 10, 11, 12, 13",10,1.0,13.0
RFESVM,Noise + Outlier,0.7349462365591398,0.7380037325935158,0.027300310134887696,11.1,"1, 2, 3, 5, 7, 9, 10, 11, 12, 13",10,2.0,13.0
