Model,Type of model,Average Accuracy,Average AUC,Average F1 Score,Average G-Mean,Average train_time,Average num_features,BestFold Features selected,BestFold #Features,C
FisherSVM,Not noise,0.7265892002734108,0.737386478223854,0.7326043128540021,0.7355451304016567,1.0473344326019287,4.4,"1, 2, 6, 7, 8",5,16.0
FisherSVM,Noise,0.7169002050580999,0.7370626195693349,0.7256195803133225,0.7338611604426253,1.1191397428512573,5.0,"1, 2, 5, 6, 7, 8",6,2.0
FisherSVM,Outlier,0.6896445659603554,0.7062390671661151,0.7008974275851283,0.7034090431322152,1.0667550802230834,4.6,"1, 2, 6, 7, 8",5,0.125
FisherSVM,Noise + Outlier,0.6649008885850991,0.6712233648704238,0.6751061112430469,0.6698080397929702,1.0521599769592285,4.3,"1, 2, 6, 8",4,4.0
