Model,Type of model,Accuracy,AUC,train_time,num_features,Features selected,Number of features,C
FisherSVM,Not noise,0.975344611528822,0.9729360782246843,0.6157478570938111,9.8,"8, 11, 14, 22, 24, 25, 27, 28, 29",9,2.0
FisherSVM,Noise,0.8963659147869676,0.8872061623451135,0.6276383638381958,11.1,"1, 3, 11, 14, 21, 22, 23, 24, 27, 28",10,4.0
FisherSVM,Outlier,0.9139724310776941,0.9259512555662305,0.6337388515472412,8.6,"2, 8, 21, 22, 25, 27, 28, 29",8,0.5
FisherSVM,Noise + Outlier,0.8541979949874687,0.8615106159291488,0.6261161088943481,9.0,"2, 4, 6, 7, 8, 9, 11, 18, 21, 22, 23, 26, 27, 28",14,32.0
