Model,Type of dataset,Average Accuracy,Average AUC,Average F1 Score,Average G-Mean,Average train_time,Average num_features,BestFold Features selected,BestFold #Features,C,B,tau,n_features
L1SVM,Not noise,0.7404761904761904,0.7353030303030302,0.7308863305668667,0.7143012277886727,0.052084851264953616,14.3,"4, 11, 12, 21, 22, 28, 29, 44, 45, 49, 51, 52, 54",13,0.125,,,
L1SVM,Noise,0.7166666666666666,0.7133333333333334,0.713037895034227,0.7045456289116194,0.038378548622131345,18.9,"1, 3, 4, 9, 11, 12, 20, 21, 23, 24, 28, 29, 42, 43, 45, 46, 49, 53, 60",19,1.0,,,
L1SVM,Outlier,0.6973809523809524,0.6829059829059829,0.6907526582523913,0.665270336018197,0.045226097106933594,13.1,"1, 4, 12, 21, 28, 29, 30, 47, 49, 52, 54, 58, 59",13,0.125,,,
L1SVM,Noise + Outlier,0.6883333333333334,0.6832323232323232,0.6857327358532097,0.6761342725076751,0.03640482425689697,19.8,"1, 2, 5, 9, 12, 19, 21, 22, 23, 28, 30, 34, 38, 39, 44, 48, 49, 51, 53, 54, 59, 60",22,2.0,,,
L2SVM,Not noise,0.7211904761904762,0.718409090909091,0.7159638567860401,0.7060168629210744,0.04879896640777588,60.0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60",60,0.125,,,
L2SVM,Noise,0.7166666666666666,0.7133333333333334,0.7129568118873544,0.7041832034810639,0.04982969760894775,60.0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60",60,2.0,,,
L2SVM,Outlier,0.6830952380952382,0.6745726495726496,0.6768897888031015,0.6570764069425776,0.05832858085632324,60.0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60",60,0.125,,,
L2SVM,Noise + Outlier,0.6735714285714285,0.6675757575757576,0.6705257660607641,0.6600631216072417,0.05216560363769531,60.0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60",60,1.0,,,
MILP1,Not noise,0.7545238095238094,0.7488131313131313,0.7454208723112483,0.7289309713365566,0.10232820510864257,1.0,11,1,0.125,1.0,,
MILP1,Noise,0.7361904761904762,0.732979797979798,0.7332498285355331,0.7255422259833035,0.40545532703399656,5.0,"12, 21, 44, 49, 60",5,0.125,5.0,,
MILP1,Outlier,0.6828571428571429,0.6728632478632478,0.6764757742773223,0.65542849671225,0.14702634811401366,13.0,"1, 12, 21, 23, 27, 29, 39, 47, 49, 52, 54, 58, 59",13,0.125,13.0,,
MILP1,Noise + Outlier,0.6785714285714286,0.6731313131313132,0.6757894514961416,0.6656519244644024,0.250373387336731,12.0,"1, 12, 19, 22, 28, 34, 39, 49, 51, 53, 54, 60",12,0.125,12.0,,
PinFSSVM,Not noise,0.7649999999999999,0.7637121212121213,0.7594988643817557,0.7510605056282146,0.26040709018707275,10.0,"4, 11, 12, 21, 28, 29, 47, 49, 52, 53",10,4.0,10.0,0.5,
PinFSSVM,Noise,0.7409523809523809,0.7375252525252526,0.7377674632019093,0.729549305050259,0.42021167278289795,5.0,"12, 21, 44, 49, 60",5,0.5,5.0,0.1,
PinFSSVM,Outlier,0.7223809523809523,0.7089209401709402,0.7124292374292375,0.6852520069616437,0.1851278781890869,2.0,"12, 49",2,0.125,2.0,0.5,
PinFSSVM,Noise + Outlier,0.6971428571428571,0.6861868686868687,0.6909589686675586,0.6718856029853588,0.1822283983230591,2.0,"12, 48",2,0.25,2.0,0.1,
PinballSVM,Not noise,0.7595238095238095,0.7566919191919192,0.7529801670167015,0.7413046094798024,0.09044921398162842,60.0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60",60,0.125,,1.0,
PinballSVM,Noise,0.7214285714285714,0.717878787878788,0.7174545243509776,0.7081639942056542,0.10043520927429199,60.0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60",60,1.0,,0.1,
PinballSVM,Outlier,0.7019047619047618,0.6950320512820513,0.6968852759440994,0.6801841582848763,0.08744368553161622,60.0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60",60,0.125,,1.0,
PinballSVM,Noise + Outlier,0.6780952380952381,0.6711868686868687,0.6749362694757768,0.6628693594700656,0.09363131523132324,60.0,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60",60,32.0,,0.1,
FisherSVM,Not noise,0.7402380952380953,0.7360101010101011,0.7328657233395423,0.7186315118417315,0.36385157108306887,12.8,"11, 12, 45, 47, 49, 51, 52",7,4.0,,,
FisherSVM,Noise,0.7314285714285713,0.7287878787878788,0.7262337983566615,0.7157305283435823,0.37438867092132566,12.8,"3, 9, 11, 12, 20, 21, 23, 24, 33, 43, 46, 51, 53, 60",14,8.0,,,
FisherSVM,Outlier,0.6973809523809524,0.6860042735042735,0.6875844015479806,0.6602817758395484,0.365007209777832,11.6,"1, 9, 12, 47, 49, 51, 52",7,2.0,,,
FisherSVM,Noise + Outlier,0.6928571428571428,0.6804797979797979,0.6826003514072979,0.6578993936914753,0.35918545722961426,10.5,"1, 2, 9, 12, 22, 26, 30, 39, 46, 48, 60",11,0.5,,,
RFESVM,Not noise,0.7404761904761904,0.7353030303030302,0.7308863305668667,0.7143012277886727,1.3845186710357666,14.1,"4, 11, 12, 21, 22, 28, 29, 44, 45, 49, 51, 52, 54",13,0.125,,,15.0
RFESVM,Noise,0.7214285714285713,0.7174242424242424,0.7168177357375545,0.7066898778555919,1.4047831058502198,15.0,"1, 4, 12, 20, 21, 22, 27, 29, 43, 45, 48, 49, 51, 53, 60",15,4.0,,,15.0
RFESVM,Outlier,0.6973809523809524,0.6829059829059829,0.6907526582523913,0.665270336018197,1.3785624265670777,12.9,"1, 4, 12, 21, 28, 29, 30, 47, 49, 52, 54, 58, 59",13,0.125,,,15.0
RFESVM,Noise + Outlier,0.6930952380952381,0.6877777777777777,0.6903420853138177,0.6804059587580983,1.4249882698059082,15.0,"1, 2, 12, 19, 22, 28, 34, 39, 45, 49, 51, 53, 54, 59, 60",15,32.0,,,15.0
