Model,Type of model,Accuracy,AUC,train_time,num_features,Features selected,Number of features,C,tau
PinballSVM,Not noise,0.8831746031746031,0.8503269194573543,0.12004580497741699,13.2,"1, 3, 4, 5, 6, 7, 8, 9, 10, 15, 21, 25, 31",13,2.0,0.1
PinballSVM,Noise,0.8291269841269842,0.7964398409561454,0.12265284061431884,14.4,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 18, 21, 26, 31",14,0.5,0.1
PinballSVM,Outlier,0.8319841269841272,0.8047905720328489,0.12177448272705078,12.9,"1, 3, 4, 5, 7, 8, 9, 10, 15, 16, 18, 31, 33",13,1.0,0.1
PinballSVM,Noise + Outlier,0.7551587301587301,0.7227860012794223,0.12479913234710693,15.4,"1, 3, 4, 5, 7, 8, 9, 10, 12, 14, 16, 18, 21, 23, 25, 31, 33",17,0.25,0.5
