Model,Type of model,Average Accuracy,Average AUC,Average F1 Score,Average G-Mean,Average train_time,Average num_features,BestFold Features selected,BestFold #Features,C
FisherSVM,Not noise,0.9770989974937343,0.9742874295760358,0.9770403854047501,0.97402699878308,1.2827970266342164,13.9,"4, 5, 8, 11, 14, 21, 22, 23, 24, 25, 27, 28, 29",13,2
FisherSVM,Noise,0.8981203007518797,0.8886347337736848,0.8979108994125017,0.8871539333267024,1.2598811388015747,11.8,"1, 3, 11, 14, 21, 22, 23, 24, 27, 28",10,1
FisherSVM,Outlier,0.9087092731829574,0.9223217549855104,0.9107169453163702,0.9208505745929345,1.3880661964416503,8.4,"1, 2, 8, 21, 22, 25, 27, 28, 29",9,4
FisherSVM,Noise + Outlier,0.8489661654135338,0.8583700102113372,0.8519965973384455,0.8571687610813399,1.2378417015075684,9.3,"4, 21, 22, 23, 27",5,8
