Model,Type of model,Accuracy,AUC,train_time,num_features,Features selected,Number of features,C,B,tau,n_features
L1SVM,Not noise,0.759047619047619,0.7596496558996558,0.07606103420257568,15.4,"1, 4, 5, 11, 12, 21, 22, 23, 27, 28, 29, 44, 45, 47, 48, 49, 51, 52, 54",19,0.125,,,
L1SVM,Noise,0.7059523809523809,0.7187391774891775,0.04010000228881836,19.8,"1, 3, 4, 5, 9, 10, 11, 12, 20, 21, 22, 23, 28, 29, 41, 43, 44, 46, 48, 49, 51, 53",22,1.0,,,
L1SVM,Outlier,0.7023809523809523,0.7019768426018426,0.04019992351531983,13.1,"1, 5, 9, 12, 21, 28, 29, 47, 49, 52, 54, 59",12,0.125,,,
L1SVM,Noise + Outlier,0.6633333333333333,0.6726128038628039,0.0399000883102417,17.1,"1, 5, 12, 19, 21, 22, 23, 28, 30, 34, 39, 43, 44, 49, 51, 52, 59",17,1.0,,,
L2SVM,Not noise,0.7447619047619047,0.7566212953712954,0.048559832572937014,19.8,"1, 4, 11, 12, 20, 21, 22, 23, 26, 27, 29, 33, 39, 44, 48, 49, 51, 52, 58, 59",20,4.0,,,
L2SVM,Noise,0.7107142857142856,0.7242898767898768,0.05130007266998291,21.3,"1, 4, 9, 12, 19, 20, 21, 22, 23, 26, 27, 28, 29, 33, 39, 43, 44, 46, 49, 51, 52, 53, 60",23,16.0,,,
L2SVM,Outlier,0.6783333333333335,0.6850336469086469,0.049859118461608884,18.9,"1, 4, 5, 12, 19, 21, 23, 24, 27, 28, 29, 30, 39, 44, 47, 49, 51, 52, 53, 59",20,4.0,,,
L2SVM,Noise + Outlier,0.6728571428571428,0.6825154012654012,0.04915053844451904,24.0,"1, 4, 5, 9, 12, 19, 21, 22, 23, 28, 30, 34, 39, 44, 48, 49, 51, 52, 53, 54, 58, 59, 60",23,1.0,,,
MILP1,Not noise,0.7495238095238095,0.7593581418581419,0.21933245658874512,12.0,"1, 4, 11, 12, 21, 23, 27, 29, 44, 49, 52, 59",12,0.125,12.0,,
MILP1,Noise,0.7107142857142856,0.7242898767898768,0.06259996891021728,21.6,"1, 4, 9, 11, 12, 19, 20, 21, 23, 26, 27, 28, 29, 33, 39, 43, 44, 46, 49, 51, 52, 53, 60",23,0.125,23.0,,
MILP1,Outlier,0.6976190476190476,0.7029124347874349,0.1952594757080078,10.0,"1, 4, 12, 21, 27, 29, 39, 49, 52, 59",10,0.125,10.0,,
MILP1,Noise + Outlier,0.6773809523809524,0.6843539793539792,0.12675182819366454,18.0,"1, 5, 12, 19, 21, 23, 28, 30, 34, 39, 44, 49, 51, 52, 53, 54, 59, 60",18,0.125,18.0,,
PinFSSVM,Not noise,0.7738095238095238,0.7802317127317128,0.2717976808547974,8.0,"4, 9, 12, 20, 26, 29, 47, 49",8,0.25,8.0,0.5,
PinFSSVM,Noise,0.7592857142857142,0.7664506327006327,0.6361748456954956,5.0,"12, 21, 44, 49, 60",5,2.0,5.0,0.5,
PinFSSVM,Outlier,0.7311904761904761,0.726354686979687,0.19369466304779054,2.0,"12, 49",2,0.125,2.0,0.1,
PinFSSVM,Noise + Outlier,0.7066666666666667,0.7142854367854368,0.41954946517944336,7.0,"1, 12, 19, 28, 49, 51, 59",7,4.0,7.0,0.1,
PinballSVM,Not noise,0.754047619047619,0.7570980408480408,0.09235880374908448,18.0,"1, 4, 5, 9, 10, 11, 12, 20, 21, 26, 27, 29, 39, 44, 47, 49, 52, 53, 54, 58",20,0.25,,0.5,
PinballSVM,Noise,0.7154761904761905,0.7326232101232102,0.09446117877960206,21.2,"1, 4, 5, 9, 12, 19, 20, 21, 22, 23, 27, 28, 29, 33, 39, 43, 44, 46, 49, 52, 53, 60",22,16.0,,0.1,
PinballSVM,Outlier,0.7064285714285714,0.712810175935176,0.09645910263061523,17.4,"1, 4, 5, 7, 9, 12, 21, 27, 28, 29, 39, 41, 47, 49, 51, 52, 53, 54, 58, 59",20,0.125,,0.5,
PinballSVM,Noise + Outlier,0.6630952380952381,0.6733655233655234,0.09585940837860107,22.4,"1, 4, 5, 12, 19, 21, 22, 23, 26, 28, 30, 34, 39, 44, 49, 51, 52, 58, 59, 60",20,4.0,,0.1,
FisherSVM,Not noise,0.720952380952381,0.7349937562437561,0.362333083152771,11.4,"1, 4, 9, 11, 12, 21, 22, 44, 48, 49, 52",11,8.0,,,
FisherSVM,Noise,0.7064285714285715,0.7254816017316018,0.3610595941543579,10.5,"9, 12, 20, 21, 22, 43, 44, 46",8,1.0,,,
FisherSVM,Outlier,0.7123809523809523,0.7074891081141083,0.3683645009994507,11.1,"1, 9, 12, 44, 47, 49, 51, 52",8,2.0,,,
FisherSVM,Noise + Outlier,0.6780952380952382,0.6786337273837273,0.36528792381286623,11.3,"1, 2, 9, 12, 39, 43, 44, 47, 48",9,1.0,,,
RFESVM,Not noise,0.759047619047619,0.7596496558996558,0.04040005207061768,15.4,"1, 4, 5, 11, 12, 21, 22, 23, 27, 28, 29, 44, 45, 47, 48, 49, 51, 52, 54",19,0.125,,,60.0
RFESVM,Noise,0.7059523809523809,0.7187391774891775,0.041274738311767575,19.8,"1, 3, 4, 5, 9, 10, 11, 12, 20, 21, 22, 23, 28, 29, 41, 43, 44, 46, 48, 49, 51, 53",22,1.0,,,60.0
RFESVM,Outlier,0.7023809523809523,0.7019768426018426,0.03987548351287842,13.1,"1, 5, 9, 12, 21, 28, 29, 47, 49, 52, 54, 59",12,0.125,,,60.0
RFESVM,Noise + Outlier,0.6633333333333333,0.6726128038628039,0.04045097827911377,17.1,"1, 5, 12, 19, 21, 22, 23, 28, 30, 34, 39, 43, 44, 49, 51, 52, 59",17,1.0,,,60.0
