Model,Type of model,Accuracy,AUC,train_time,num_features,Features selected,Number of features,C,B,tau,time_limit,n_features
L1SVM,Not noise,0.7291866028708134,0.7417951459971833,0.08686878681182861,4.9,"1, 2, 6, 7, 8",5,8.0,,,,
L1SVM,Noise,0.718215994531784,0.7367536966862881,0.08777275085449218,5.2,"1, 2, 5, 6, 7, 8",6,0.5,,,,
L1SVM,Outlier,0.690892002734108,0.7087438956709435,0.09385318756103515,5.1,"1, 2, 5, 6, 7, 8",6,0.25,,,,
L1SVM,Noise + Outlier,0.6609876965140123,0.6733226151428552,0.08926832675933838,5.8,"1, 2, 5, 6, 7, 8",6,0.125,,,,
L2SVM,Not noise,0.7318010936431989,0.7446296729070195,0.09143638610839844,8.0,"1, 2, 6, 7, 8",5,0.25,,,,
L2SVM,Noise,0.7194976076555023,0.7387988221751026,0.07988169193267822,8.0,"1, 2, 5, 6, 7, 8",6,0.5,,,,
L2SVM,Outlier,0.6948222829801777,0.7135515879786357,0.08759157657623291,8.0,"1, 2, 5, 6, 7, 8",6,0.125,,,,
L2SVM,Noise + Outlier,0.6571086807928913,0.6712721318928749,0.07869536876678467,8.0,"1, 2, 5, 6, 7, 8",6,1.0,,,,
MILP1,Not noise,0.7395591250854407,0.7517661340734345,0.11638298034667968,4.0,"1, 2, 6, 7",4,0.125,4.0,,,
MILP1,Noise,0.7169002050580999,0.7358103004598731,0.09482905864715577,5.0,"1, 2, 6, 7, 8",5,0.125,5.0,,,
MILP1,Outlier,0.7039302802460699,0.720341443090411,0.11877331733703614,4.0,"1, 2, 6, 8",4,0.125,4.0,,,
MILP1,Noise + Outlier,0.6584073820915927,0.6710672170321939,0.11505231857299805,5.0,"1, 2, 6, 7, 8",5,0.125,5.0,,,
PinFSSVM,Not noise,0.7330314422419686,0.7469348015240568,0.1747375249862671,5.0,"1, 2, 6, 7, 8",5,0.125,5.0,1.0,60.0,
PinFSSVM,Noise,0.7221291866028708,0.7381511749627389,0.2024839162826538,5.0,"1, 2, 6, 7, 8",5,0.5,5.0,0.5,60.0,
PinFSSVM,Outlier,0.7091592617908407,0.727352025100993,0.21852240562438965,4.0,"1, 2, 6, 8",4,0.5,4.0,0.1,60.0,
PinFSSVM,Noise + Outlier,0.668814080656186,0.6834441263071295,0.221885085105896,5.0,"1, 2, 6, 7, 8",5,2.0,5.0,0.1,60.0,
PinballSVM,Not noise,0.7317327409432673,0.7458889175834361,0.14898297786712647,8.0,"1, 2, 6, 7, 8",5,0.125,,1.0,,
PinballSVM,Noise,0.7208304853041695,0.7407277742400148,0.16124849319458007,8.0,"1, 2, 5, 6, 7, 8",6,0.125,,0.1,,
PinballSVM,Outlier,0.6974025974025974,0.7187541329969703,0.14934072494506836,8.0,"1, 2, 6, 7, 8",5,0.25,,1.0,,
PinballSVM,Noise + Outlier,0.664917976760082,0.6799154181731581,0.14978387355804443,8.0,"1, 2, 5, 6, 7, 8",6,0.125,,0.5,,
FisherSVM,Not noise,0.7681818181818182,0.7203051110099375,0.010583591461181641,8.0,"1, 2, 3, 4, 5, 6, 7, 8",8,1.0,,,,8.0
FisherSVM,Noise,0.7639097744360902,0.6996972542501394,0.01755528450012207,6.0,"1, 2, 5, 6, 7, 8",6,4.0,,,,6.0
FisherSVM,Outlier,0.7392173615857827,0.6544125057175382,0.009873533248901367,8.0,"1, 2, 3, 4, 5, 6, 7, 8",8,0.5,,,,8.0
FisherSVM,Noise + Outlier,0.6701982228298018,0.5,0.00558774471282959,1.0,,0,0.125,,,,1.0
RFESVM,Not noise,0.7681818181818182,0.7203051110099375,0.021052861213684083,8.0,"1, 2, 3, 4, 5, 6, 7, 8",8,1.0,,,,8.0
RFESVM,Noise,0.7586637047163364,0.6930091149959624,0.043190383911132814,7.0,"1, 2, 3, 4, 6, 7, 8",7,2.0,,,,7.0
RFESVM,Outlier,0.7392173615857827,0.6553355826406151,0.02773921489715576,7.0,"1, 2, 3, 4, 5, 6, 7",7,0.5,,,,7.0
RFESVM,Noise + Outlier,0.6701982228298018,0.5016228070175439,0.03689785003662109,5.0,"1, 2, 4, 5, 6",5,0.125,,,,5.0
